STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN021010100,"AGARTALA, IN",1/1/1990,0,59,75,46
IN021010100,"AGARTALA, IN",1/2/1990,0,59,75,
IN021010100,"AGARTALA, IN",1/3/1990,0,59,,46
IN021010100,"AGARTALA, IN",1/4/1990,0,61,,48
IN021010100,"AGARTALA, IN",1/5/1990,0,63,75,46
IN021010100,"AGARTALA, IN",1/6/1990,0,59,76,
IN021010100,"AGARTALA, IN",1/7/1990,0,63,79,45
IN021010100,"AGARTALA, IN",1/8/1990,0,63,78,49
IN021010100,"AGARTALA, IN",1/9/1990,0,56,,
IN021010100,"AGARTALA, IN",1/10/1990,0,60,76,47
IN021010100,"AGARTALA, IN",1/11/1990,0,65,,45
IN021010100,"AGARTALA, IN",1/12/1990,0,62,77,47
IN021010100,"AGARTALA, IN",1/13/1990,0,65,79,48
IN021010100,"AGARTALA, IN",1/14/1990,0,64,,51
IN021010100,"AGARTALA, IN",1/15/1990,0,65,78,52
IN021010100,"AGARTALA, IN",1/16/1990,0,66,78,53
IN021010100,"AGARTALA, IN",1/17/1990,0,63,79,52
IN021010100,"AGARTALA, IN",1/18/1990,0,65,79,50
IN021010100,"AGARTALA, IN",1/20/1990,0,75,,54
IN021010100,"AGARTALA, IN",1/21/1990,0,70,83,59
IN021010100,"AGARTALA, IN",1/22/1990,0,72,,60
IN021010100,"AGARTALA, IN",1/23/1990,0,70,77,61
IN021010100,"AGARTALA, IN",1/24/1990,0,70,,
IN021010100,"AGARTALA, IN",1/25/1990,0,71,81,62
IN021010100,"AGARTALA, IN",1/26/1990,0,73,84,
IN021010100,"AGARTALA, IN",1/27/1990,0,73,,59
IN021010100,"AGARTALA, IN",1/28/1990,0,72,,62
IN021010100,"AGARTALA, IN",1/29/1990,0,73,85,62
IN021010100,"AGARTALA, IN",1/30/1990,0,72,85,64
IN021010100,"AGARTALA, IN",1/31/1990,0,75,,66
IN021010100,"AGARTALA, IN",2/1/1990,0,73,84,63
IN021010100,"AGARTALA, IN",2/2/1990,0,76,,
IN021010100,"AGARTALA, IN",2/3/1990,0,69,,58
IN021010100,"AGARTALA, IN",2/4/1990,0,71,85,57
IN021010100,"AGARTALA, IN",2/5/1990,0,74,84,60
IN021010100,"AGARTALA, IN",2/6/1990,0,72,86,61
IN021010100,"AGARTALA, IN",2/7/1990,0,69,84,53
IN021010100,"AGARTALA, IN",2/8/1990,0,71,85,53
IN021010100,"AGARTALA, IN",2/9/1990,0,72,,59
IN021010100,"AGARTALA, IN",2/10/1990,0,75,88,60
IN021010100,"AGARTALA, IN",2/11/1990,0,72,84,
IN021010100,"AGARTALA, IN",2/12/1990,,76,85,55
IN021010100,"AGARTALA, IN",2/13/1990,0,73,88,
IN021010100,"AGARTALA, IN",2/14/1990,,65,79,59
