STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN005010600,"AHMADABAD, IN",1/1/1990,0,63,,
IN005010600,"AHMADABAD, IN",1/2/1990,0,67,80,51
IN005010600,"AHMADABAD, IN",1/3/1990,0,67,83,53
IN005010600,"AHMADABAD, IN",1/4/1990,0,71,86,
IN005010600,"AHMADABAD, IN",1/5/1990,0,71,85,58
IN005010600,"AHMADABAD, IN",1/6/1990,0,72,86,60
IN005010600,"AHMADABAD, IN",1/7/1990,0,71,87,56
IN005010600,"AHMADABAD, IN",1/8/1990,0,69,86,58
IN005010600,"AHMADABAD, IN",1/9/1990,0,66,,58
IN005010600,"AHMADABAD, IN",1/10/1990,0,71,88,
IN005010600,"AHMADABAD, IN",1/11/1990,0,68,89,51
IN005010600,"AHMADABAD, IN",1/12/1990,0,67,90,52
IN005010600,"AHMADABAD, IN",1/13/1990,0,68,86,51
IN005010600,"AHMADABAD, IN",1/14/1990,0,70,89,55
IN005010600,"AHMADABAD, IN",1/15/1990,0,67,86,57
IN005010600,"AHMADABAD, IN",1/16/1990,0,68,86,53
IN005010600,"AHMADABAD, IN",1/17/1990,0,71,90,55
IN005010600,"AHMADABAD, IN",1/18/1990,0,71,90,52
IN005010600,"AHMADABAD, IN",1/19/1990,0,73,93,55
IN005010600,"AHMADABAD, IN",1/20/1990,0,72,92,56
IN005010600,"AHMADABAD, IN",1/21/1990,0,73,92,56
IN005010600,"AHMADABAD, IN",1/22/1990,0,71,,54
IN005010600,"AHMADABAD, IN",1/23/1990,0,74,94,57
IN005010600,"AHMADABAD, IN",1/24/1990,0,74,92,59
IN005010600,"AHMADABAD, IN",1/25/1990,0,73,92,59
IN005010600,"AHMADABAD, IN",1/26/1990,0,74,93,57
IN005010600,"AHMADABAD, IN",1/27/1990,0,74,89,58
IN005010600,"AHMADABAD, IN",1/28/1990,0,69,83,62
IN005010600,"AHMADABAD, IN",1/29/1990,1.61,65,,
IN005010600,"AHMADABAD, IN",1/30/1990,0,69,88,57
IN005010600,"AHMADABAD, IN",1/31/1990,0,70,85,55
IN005010600,"AHMADABAD, IN",2/1/1990,0,70,80,
IN005010600,"AHMADABAD, IN",2/2/1990,0,68,84,
IN005010600,"AHMADABAD, IN",2/3/1990,0,70,87,51
IN005010600,"AHMADABAD, IN",2/4/1990,0,72,89,54
IN005010600,"AHMADABAD, IN",2/5/1990,0,72,89,56
IN005010600,"AHMADABAD, IN",2/6/1990,0,78,94,61
IN005010600,"AHMADABAD, IN",2/7/1990,0,80,95,65
IN005010600,"AHMADABAD, IN",2/8/1990,0,77,89,67
IN005010600,"AHMADABAD, IN",2/9/1990,0,77,88,67
IN005010600,"AHMADABAD, IN",2/10/1990,0,77,90,65
IN005010600,"AHMADABAD, IN",2/11/1990,0,76,92,67
IN005010600,"AHMADABAD, IN",2/12/1990,0,81,94,70
IN005010600,"AHMADABAD, IN",2/13/1990,0,72,82,
IN005010600,"AHMADABAD, IN",2/14/1990,0,71,82,59
IN005010600,"AHMADABAD, IN",2/15/1990,0,70,82,58
IN005010600,"AHMADABAD, IN",2/16/1990,,68,,58
IN005010600,"AHMADABAD, IN",2/17/1990,,71,87,58
IN005010600,"AHMADABAD, IN",2/18/1990,0,64,75,55
IN005010600,"AHMADABAD, IN",2/19/1990,0,69,78,54
IN005010600,"AHMADABAD, IN",2/20/1990,0,71,82,56
IN005010600,"AHMADABAD, IN",2/21/1990,0,70,84,56
IN005010600,"AHMADABAD, IN",2/22/1990,0,72,86,58
IN005010600,"AHMADABAD, IN",2/23/1990,0,76,87,60
IN005010600,"AHMADABAD, IN",2/24/1990,0,79,90,69
IN005010600,"AHMADABAD, IN",2/25/1990,0,78,89,63
IN005010600,"AHMADABAD, IN",2/26/1990,0,75,86,64
IN005010600,"AHMADABAD, IN",2/27/1990,0,68,,
IN005010600,"AHMADABAD, IN",2/28/1990,0.07,71,82,63
IN005010600,"AHMADABAD, IN",3/1/1990,0,70,83,57
IN005010600,"AHMADABAD, IN",3/2/1990,0,70,83,58
IN005010600,"AHMADABAD, IN",3/3/1990,0,73,85,54
IN005010600,"AHMADABAD, IN",3/4/1990,0,73,87,56
IN005010600,"AHMADABAD, IN",3/5/1990,0,75,87,63
IN005010600,"AHMADABAD, IN",3/6/1990,0,74,90,60
IN005010600,"AHMADABAD, IN",3/7/1990,0,78,,61
IN005010600,"AHMADABAD, IN",3/8/1990,0,73,92,58
IN005010600,"AHMADABAD, IN",3/9/1990,0,76,92,62
IN005010600,"AHMADABAD, IN",3/10/1990,0,80,97,63
IN005010600,"AHMADABAD, IN",3/11/1990,0,81,95,66
IN005010600,"AHMADABAD, IN",3/12/1990,0,81,94,67
IN005010600,"AHMADABAD, IN",3/13/1990,0,79,95,61
IN005010600,"AHMADABAD, IN",3/14/1990,0,81,99,63
IN005010600,"AHMADABAD, IN",3/15/1990,0,82,99,67
IN005010600,"AHMADABAD, IN",3/16/1990,0,85,100,67
IN005010600,"AHMADABAD, IN",3/17/1990,0,83,100,71
IN005010600,"AHMADABAD, IN",3/18/1990,0,87,100,72
IN005010600,"AHMADABAD, IN",3/19/1990,0,85,99,72
IN005010600,"AHMADABAD, IN",3/20/1990,0,85,100,71
IN005010600,"AHMADABAD, IN",3/21/1990,,87,100,73
IN005010600,"AHMADABAD, IN",3/22/1990,0,85,98,75
IN005010600,"AHMADABAD, IN",3/23/1990,0,76,89,67
IN005010600,"AHMADABAD, IN",3/24/1990,0,73,89,59
IN005010600,"AHMADABAD, IN",3/25/1990,0,78,92,
IN005010600,"AHMADABAD, IN",3/26/1990,0,80,94,67
IN005010600,"AHMADABAD, IN",3/27/1990,0,81,92,74
IN005010600,"AHMADABAD, IN",3/28/1990,0,83,96,72
IN005010600,"AHMADABAD, IN",3/29/1990,0,84,94,72
IN005010600,"AHMADABAD, IN",3/30/1990,0,82,94,70
IN005010600,"AHMADABAD, IN",3/31/1990,0,83,95,68
IN005010600,"AHMADABAD, IN",4/1/1990,0,83,96,67
IN005010600,"AHMADABAD, IN",4/2/1990,0,83,97,69
IN005010600,"AHMADABAD, IN",4/3/1990,0,84,98,67
IN005010600,"AHMADABAD, IN",4/4/1990,0,85,,68
IN005010600,"AHMADABAD, IN",4/5/1990,0,87,101,73
IN005010600,"AHMADABAD, IN",4/6/1990,0,88,100,75
IN005010600,"AHMADABAD, IN",4/7/1990,0,89,102,75
IN005010600,"AHMADABAD, IN",4/8/1990,0,86,100,
IN005010600,"AHMADABAD, IN",4/9/1990,0,85,100,72
IN005010600,"AHMADABAD, IN",4/10/1990,0,88,103,73
IN005010600,"AHMADABAD, IN",4/11/1990,0,88,104,74
IN005010600,"AHMADABAD, IN",4/12/1990,0,89,103,77
IN005010600,"AHMADABAD, IN",4/13/1990,0,88,102,76
IN005010600,"AHMADABAD, IN",4/14/1990,0,90,103,76
IN005010600,"AHMADABAD, IN",4/15/1990,0,90,104,76
IN005010600,"AHMADABAD, IN",4/16/1990,0,91,104,77
IN005010600,"AHMADABAD, IN",4/17/1990,0,91,104,77
IN005010600,"AHMADABAD, IN",4/18/1990,0,92,106,78
IN005010600,"AHMADABAD, IN",4/19/1990,0,92,108,76
IN005010600,"AHMADABAD, IN",4/20/1990,0,89,106,76
IN005010600,"AHMADABAD, IN",4/21/1990,0,88,105,76
IN005010600,"AHMADABAD, IN",4/22/1990,0,89,103,
IN005010600,"AHMADABAD, IN",4/23/1990,0,92,105,77
IN005010600,"AHMADABAD, IN",4/24/1990,0,93,108,78
IN005010600,"AHMADABAD, IN",4/25/1990,0,94,109,
IN005010600,"AHMADABAD, IN",4/26/1990,0,91,108,
IN005010600,"AHMADABAD, IN",4/27/1990,0,91,105,
IN005010600,"AHMADABAD, IN",4/28/1990,0,92,108,81
IN005010600,"AHMADABAD, IN",4/29/1990,0,92,107,78
IN005010600,"AHMADABAD, IN",4/30/1990,0,90,104,77
IN005010600,"AHMADABAD, IN",5/1/1990,0,90,103,78
IN005010600,"AHMADABAD, IN",5/2/1990,0,93,106,79
IN005010600,"AHMADABAD, IN",5/3/1990,0,90,107,
IN005010600,"AHMADABAD, IN",5/4/1990,,92,108,79
