STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
INM00042071,"AMRITSAR, IN",1/1/1990,0,,47,60,
INM00042071,"AMRITSAR, IN",1/2/1990,0,,48,61,
INM00042071,"AMRITSAR, IN",1/3/1990,0,,48,52,
INM00042071,"AMRITSAR, IN",1/4/1990,0,,47,57,
INM00042071,"AMRITSAR, IN",1/5/1990,0,,51,69,33
INM00042071,"AMRITSAR, IN",1/6/1990,0.02,,51,53,42
INM00042071,"AMRITSAR, IN",1/7/1990,0.2,,47,53,
INM00042071,"AMRITSAR, IN",1/8/1990,0,,49,61,37
INM00042071,"AMRITSAR, IN",1/9/1990,0,,51,65,
INM00042071,"AMRITSAR, IN",1/10/1990,0,,58,70,34
INM00042071,"AMRITSAR, IN",1/11/1990,0,,53,72,
INM00042071,"AMRITSAR, IN",1/12/1990,0,,57,73,38
INM00042071,"AMRITSAR, IN",1/13/1990,0,,54,74,
INM00042071,"AMRITSAR, IN",1/14/1990,0,,56,73,38
INM00042071,"AMRITSAR, IN",1/15/1990,0,,55,72,35
INM00042071,"AMRITSAR, IN",1/16/1990,0,,59,,
INM00042071,"AMRITSAR, IN",1/17/1990,0,,56,74,
INM00042071,"AMRITSAR, IN",1/18/1990,,,55,,47
INM00042071,"AMRITSAR, IN",1/19/1990,0,,63,76,
INM00042071,"AMRITSAR, IN",1/20/1990,0,,61,75,
INM00042071,"AMRITSAR, IN",1/21/1990,,,62,74,
INM00042071,"AMRITSAR, IN",1/22/1990,0.07,,62,74,49
INM00042071,"AMRITSAR, IN",1/23/1990,0,,59,75,43
INM00042071,"AMRITSAR, IN",1/24/1990,0,,61,75,
INM00042071,"AMRITSAR, IN",1/25/1990,0,,59,76,
INM00042071,"AMRITSAR, IN",1/26/1990,0,,60,75,42
INM00042071,"AMRITSAR, IN",1/27/1990,,,61,70,
INM00042071,"AMRITSAR, IN",1/28/1990,0.01,,57,70,
INM00042071,"AMRITSAR, IN",1/30/1990,,,54,69,
INM00042071,"AMRITSAR, IN",1/31/1990,0,,56,68,45
INM00042071,"AMRITSAR, IN",2/1/1990,0,,54,69,
INM00042071,"AMRITSAR, IN",2/2/1990,0,,48,69,
INM00042071,"AMRITSAR, IN",2/3/1990,0,,56,,41
INM00042071,"AMRITSAR, IN",2/4/1990,0,,58,73,
INM00042071,"AMRITSAR, IN",2/5/1990,,,54,73,
INM00042071,"AMRITSAR, IN",2/7/1990,0,,58,63,53
INM00042071,"AMRITSAR, IN",2/8/1990,,,62,,55
INM00042071,"AMRITSAR, IN",2/9/1990,0,,64,75,
INM00042071,"AMRITSAR, IN",2/10/1990,0,,62,74,
INM00042071,"AMRITSAR, IN",2/11/1990,0,,59,68,44
INM00042071,"AMRITSAR, IN",2/12/1990,0,,56,62,51
INM00042071,"AMRITSAR, IN",2/13/1990,0.25,,56,62,
INM00042071,"AMRITSAR, IN",2/14/1990,0,,56,66,
INM00042071,"AMRITSAR, IN",2/15/1990,,,59,69,39
INM00042071,"AMRITSAR, IN",2/16/1990,0,,54,72,38
INM00042071,"AMRITSAR, IN",2/17/1990,0,,55,72,
