STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN017111200,"BHUBANESWAR, IN",1/1/1990,0,68,82,
IN017111200,"BHUBANESWAR, IN",1/2/1990,0,69,,62
IN017111200,"BHUBANESWAR, IN",1/3/1990,0,69,81,61
IN017111200,"BHUBANESWAR, IN",1/4/1990,0,66,82,
IN017111200,"BHUBANESWAR, IN",1/5/1990,0,68,83,52
IN017111200,"BHUBANESWAR, IN",1/6/1990,0,72,,54
IN017111200,"BHUBANESWAR, IN",1/7/1990,0,69,,
IN017111200,"BHUBANESWAR, IN",1/8/1990,0,69,85,56
IN017111200,"BHUBANESWAR, IN",1/9/1990,0,72,89,59
IN017111200,"BHUBANESWAR, IN",1/10/1990,0,71,87,58
IN017111200,"BHUBANESWAR, IN",1/11/1990,0,71,87,60
IN017111200,"BHUBANESWAR, IN",1/12/1990,0,70,85,55
IN017111200,"BHUBANESWAR, IN",1/13/1990,,73,85,
IN017111200,"BHUBANESWAR, IN",1/14/1990,0,77,90,57
IN017111200,"BHUBANESWAR, IN",1/15/1990,0,76,92,60
IN017111200,"BHUBANESWAR, IN",1/16/1990,0,74,88,60
IN017111200,"BHUBANESWAR, IN",1/17/1990,0,67,,59
IN017111200,"BHUBANESWAR, IN",1/18/1990,,85,93,
IN017111200,"BHUBANESWAR, IN",1/19/1990,0,76,92,61
IN017111200,"BHUBANESWAR, IN",1/20/1990,0,80,93,60
IN017111200,"BHUBANESWAR, IN",1/21/1990,0,77,90,63
IN017111200,"BHUBANESWAR, IN",1/22/1990,0,78,91,64
IN017111200,"BHUBANESWAR, IN",1/23/1990,0,77,92,63
IN017111200,"BHUBANESWAR, IN",1/24/1990,0,78,91,
IN017111200,"BHUBANESWAR, IN",1/25/1990,0,78,91,65
IN017111200,"BHUBANESWAR, IN",1/26/1990,0,77,90,66
IN017111200,"BHUBANESWAR, IN",1/27/1990,0,76,91,58
IN017111200,"BHUBANESWAR, IN",1/28/1990,0,72,91,59
IN017111200,"BHUBANESWAR, IN",1/29/1990,0,72,,60
IN017111200,"BHUBANESWAR, IN",1/30/1990,0,80,95,63
IN017111200,"BHUBANESWAR, IN",1/31/1990,0,77,94,63
IN017111200,"BHUBANESWAR, IN",2/1/1990,0,78,93,63
IN017111200,"BHUBANESWAR, IN",2/2/1990,0,80,92,
IN017111200,"BHUBANESWAR, IN",2/3/1990,0,80,90,
IN017111200,"BHUBANESWAR, IN",2/4/1990,0,78,93,67
IN017111200,"BHUBANESWAR, IN",2/5/1990,0,79,93,67
IN017111200,"BHUBANESWAR, IN",2/6/1990,0,77,91,68
IN017111200,"BHUBANESWAR, IN",2/7/1990,0,78,91,67
IN017111200,"BHUBANESWAR, IN",2/8/1990,0,76,,
IN017111200,"BHUBANESWAR, IN",2/9/1990,0,77,,67
IN017111200,"BHUBANESWAR, IN",2/10/1990,,81,90,65
IN017111200,"BHUBANESWAR, IN",2/11/1990,0,78,92,66
IN017111200,"BHUBANESWAR, IN",2/12/1990,0,78,96,66
IN017111200,"BHUBANESWAR, IN",2/13/1990,0,76,94,
IN017111200,"BHUBANESWAR, IN",2/14/1990,,79,88,71
IN017111200,"BHUBANESWAR, IN",2/15/1990,0.2,69,75,
IN017111200,"BHUBANESWAR, IN",2/16/1990,0.26,74,85,63
IN017111200,"BHUBANESWAR, IN",2/17/1990,0,76,90,66
IN017111200,"BHUBANESWAR, IN",2/18/1990,0.36,71,79,67
IN017111200,"BHUBANESWAR, IN",2/19/1990,0,75,84,
IN017111200,"BHUBANESWAR, IN",2/20/1990,0,74,,65
IN017111200,"BHUBANESWAR, IN",2/21/1990,0.58,73,87,65
IN017111200,"BHUBANESWAR, IN",2/22/1990,0,76,86,67
IN017111200,"BHUBANESWAR, IN",2/23/1990,,76,,67
IN017111200,"BHUBANESWAR, IN",2/24/1990,0.21,74,85,66
IN017111200,"BHUBANESWAR, IN",2/25/1990,0,76,,66
IN017111200,"BHUBANESWAR, IN",2/26/1990,0,80,,69
IN017111200,"BHUBANESWAR, IN",2/27/1990,0,79,92,66
