STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN006012800,"AMBALA, IN",5/18/1992,,87,101,69
IN006012800,"AMBALA, IN",5/19/1992,0,85,95,76
IN006012800,"AMBALA, IN",3/9/1994,0,68,,
IN006012800,"AMBALA, IN",3/21/1995,0,72,85,
IN006012800,"AMBALA, IN",3/23/1995,0,78,91,
IN006012800,"AMBALA, IN",3/30/1995,,71,81,
IN006012800,"AMBALA, IN",4/4/1995,0,73,85,
IN006012800,"AMBALA, IN",4/6/1995,0,76,91,
IN006012800,"AMBALA, IN",4/21/1995,0,78,92,
IN006012800,"AMBALA, IN",4/26/1995,0,86,99,
IN006012800,"AMBALA, IN",5/4/1995,0,85,100,
IN006012800,"AMBALA, IN",5/6/1995,0,87,103,
IN006012800,"AMBALA, IN",5/9/1995,0,91,101,
IN006012800,"AMBALA, IN",5/11/1995,0,89,101,
IN006012800,"AMBALA, IN",5/20/1995,0,91,104,
IN006012800,"AMBALA, IN",5/28/1995,0,90,,
IN006012800,"AMBALA, IN",5/30/1995,0,98,,
IN006012800,"AMBALA, IN",6/8/1995,,93,110,
IN006012800,"AMBALA, IN",7/1/1995,,90,99,
IN006012800,"AMBALA, IN",7/8/1995,,83,87,
IN006012800,"AMBALA, IN",7/31/1995,,85,96,
IN006012800,"AMBALA, IN",8/4/1995,,83,90,
IN006012800,"AMBALA, IN",8/6/1995,,84,89,
IN006012800,"AMBALA, IN",8/16/1995,0,87,93,
IN006012800,"AMBALA, IN",9/2/1995,0,85,95,76
IN006012800,"AMBALA, IN",9/12/1995,,83,92,
IN006012800,"AMBALA, IN",11/7/1996,0,69,86,
IN006012800,"AMBALA, IN",12/7/1996,0,57,69,
IN006012800,"AMBALA, IN",2/3/1997,0,51,69,
IN006011400,"CHANDIGARH IAFB, IN",12/7/2015,,60,75,
IN006011400,"CHANDIGARH IAFB, IN",12/8/2015,,61,75,52
IN006012800,"AMBALA, IN",12/8/2015,,60,73,51
IN006011400,"CHANDIGARH IAFB, IN",12/9/2015,,61,74,50
IN006012800,"AMBALA, IN",12/9/2015,,61,70,51
IN006011400,"CHANDIGARH IAFB, IN",12/10/2015,,64,72,53
IN006012800,"AMBALA, IN",12/10/2015,,62,71,55
IN006011400,"CHANDIGARH IAFB, IN",12/11/2015,,61,72,
IN006012800,"AMBALA, IN",12/11/2015,0.01,60,71,
IN006011400,"CHANDIGARH IAFB, IN",12/12/2015,,58,67,53
IN006012800,"AMBALA, IN",12/12/2015,0,58,,53
IN006011400,"CHANDIGARH IAFB, IN",12/13/2015,,56,67,
IN006012800,"AMBALA, IN",12/13/2015,,57,68,49
IN006011400,"CHANDIGARH IAFB, IN",12/14/2015,,56,68,46
IN006012800,"AMBALA, IN",12/14/2015,,55,68,48
IN006011400,"CHANDIGARH IAFB, IN",12/15/2015,,54,69,45
IN006012800,"AMBALA, IN",12/15/2015,,55,68,46
IN006011400,"CHANDIGARH IAFB, IN",12/16/2015,,54,70,41
IN006012800,"AMBALA, IN",12/16/2015,,54,67,42
IN006011400,"CHANDIGARH IAFB, IN",12/17/2015,,56,70,46
IN006012800,"AMBALA, IN",12/17/2015,,56,67,43
IN006011400,"CHANDIGARH IAFB, IN",12/18/2015,,55,69,42
IN006012800,"AMBALA, IN",12/18/2015,,57,67,46
IN006011400,"CHANDIGARH IAFB, IN",12/19/2015,,54,69,42
IN006012800,"AMBALA, IN",12/19/2015,,55,67,44
IN006011400,"CHANDIGARH IAFB, IN",12/20/2015,,53,69,43
IN006012800,"AMBALA, IN",12/20/2015,,54,67,43
IN006011400,"CHANDIGARH IAFB, IN",12/21/2015,,53,69,41
IN006012800,"AMBALA, IN",12/21/2015,,54,65,42
IN006011400,"CHANDIGARH IAFB, IN",12/22/2015,,55,70,
IN006012800,"AMBALA, IN",12/22/2015,,55,66,45
IN006011400,"CHANDIGARH IAFB, IN",12/23/2015,,55,70,42
IN006012800,"AMBALA, IN",12/23/2015,,54,66,43
IN006011400,"CHANDIGARH IAFB, IN",12/24/2015,,53,66,43
IN006012800,"AMBALA, IN",12/24/2015,,54,65,45
IN006011400,"CHANDIGARH IAFB, IN",12/25/2015,,51,64,38
IN006012800,"AMBALA, IN",12/25/2015,,52,65,41
IN006011400,"CHANDIGARH IAFB, IN",12/26/2015,,54,69,42
IN006012800,"AMBALA, IN",12/26/2015,,55,,43
IN006011400,"CHANDIGARH IAFB, IN",12/27/2015,,56,71,43
IN006012800,"AMBALA, IN",12/27/2015,,57,70,45
IN006011400,"CHANDIGARH IAFB, IN",12/28/2015,,59,74,47
IN006012800,"AMBALA, IN",12/28/2015,,60,74,47
IN006011400,"CHANDIGARH IAFB, IN",12/29/2015,,58,74,47
IN006012800,"AMBALA, IN",12/29/2015,,60,74,49
IN006011400,"CHANDIGARH IAFB, IN",12/30/2015,,57,75,46
IN006012800,"AMBALA, IN",12/30/2015,,59,74,47
IN006011400,"CHANDIGARH IAFB, IN",12/31/2015,,55,75,42
IN006012800,"AMBALA, IN",12/31/2015,,56,74,45
IN006011400,"CHANDIGARH IAFB, IN",1/1/2016,,55,74,46
IN006012800,"AMBALA, IN",1/1/2016,,56,71,47
IN006011400,"CHANDIGARH IAFB, IN",1/2/2016,,53,74,42
IN006012800,"AMBALA, IN",1/2/2016,,56,71,43
IN006011400,"CHANDIGARH IAFB, IN",1/3/2016,,55,70,42
IN006012800,"AMBALA, IN",1/3/2016,,55,69,46
IN006011400,"CHANDIGARH IAFB, IN",1/4/2016,,60,73,45
IN006012800,"AMBALA, IN",1/4/2016,,58,69,46
IN006011400,"CHANDIGARH IAFB, IN",1/5/2016,,60,75,50
IN006012800,"AMBALA, IN",1/5/2016,,60,75,51
IN006011400,"CHANDIGARH IAFB, IN",1/6/2016,,60,75,48
IN006012800,"AMBALA, IN",1/6/2016,,61,75,50
IN006011400,"CHANDIGARH IAFB, IN",1/7/2016,,61,75,50
IN006012800,"AMBALA, IN",1/7/2016,,61,75,52
IN006011400,"CHANDIGARH IAFB, IN",1/8/2016,,59,74,50
IN006012800,"AMBALA, IN",1/8/2016,,61,72,53
IN006011400,"CHANDIGARH IAFB, IN",1/9/2016,,57,71,46
IN006012800,"AMBALA, IN",1/9/2016,,58,70,49
IN006011400,"CHANDIGARH IAFB, IN",1/10/2016,,56,73,42
IN006012800,"AMBALA, IN",1/10/2016,,57,69,46
