STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN020040900,"MADRAS MINAMBAKKAM, IN",1/1/1990,0.02,77,83,73
IN020040900,"MADRAS MINAMBAKKAM, IN",1/2/1990,0,77,84,71
IN020040900,"MADRAS MINAMBAKKAM, IN",1/3/1990,0,78,86,71
IN020040900,"MADRAS MINAMBAKKAM, IN",1/4/1990,0,78,84,
IN020040900,"MADRAS MINAMBAKKAM, IN",1/5/1990,0,78,83,69
IN020040900,"MADRAS MINAMBAKKAM, IN",1/6/1990,0.02,76,79,
IN020040900,"MADRAS MINAMBAKKAM, IN",1/7/1990,0.71,78,81,74
IN020040900,"MADRAS MINAMBAKKAM, IN",1/8/1990,0.02,78,82,72
IN020040900,"MADRAS MINAMBAKKAM, IN",1/9/1990,0,77,83,71
IN020040900,"MADRAS MINAMBAKKAM, IN",1/10/1990,0,76,84,69
IN020040900,"MADRAS MINAMBAKKAM, IN",1/11/1990,0,76,84,68
IN020040900,"MADRAS MINAMBAKKAM, IN",1/12/1990,0,75,85,64
IN020040900,"MADRAS MINAMBAKKAM, IN",1/13/1990,0,74,88,63
IN020040900,"MADRAS MINAMBAKKAM, IN",1/14/1990,0,75,89,63
IN020040900,"MADRAS MINAMBAKKAM, IN",1/15/1990,0,74,87,63
IN020040900,"MADRAS MINAMBAKKAM, IN",1/16/1990,0,74,86,64
IN020040900,"MADRAS MINAMBAKKAM, IN",1/17/1990,0,74,84,
IN020040900,"MADRAS MINAMBAKKAM, IN",1/18/1990,0,73,86,65
IN020040900,"MADRAS MINAMBAKKAM, IN",1/19/1990,0,73,87,63
IN020040900,"MADRAS MINAMBAKKAM, IN",1/20/1990,0,74,92,62
IN020040900,"MADRAS MINAMBAKKAM, IN",1/21/1990,0,76,91,63
IN020040900,"MADRAS MINAMBAKKAM, IN",1/22/1990,0,74,87,65
IN020040900,"MADRAS MINAMBAKKAM, IN",1/23/1990,0,76,85,69
IN020040900,"MADRAS MINAMBAKKAM, IN",1/24/1990,0,76,85,67
IN020040900,"MADRAS MINAMBAKKAM, IN",1/25/1990,0,77,88,68
IN020040900,"MADRAS MINAMBAKKAM, IN",1/26/1990,0,76,85,68
IN020040900,"MADRAS MINAMBAKKAM, IN",1/27/1990,0,75,85,68
IN020040900,"MADRAS MINAMBAKKAM, IN",1/28/1990,0,75,85,66
IN020040900,"MADRAS MINAMBAKKAM, IN",1/29/1990,0,75,,68
IN020040900,"MADRAS MINAMBAKKAM, IN",1/30/1990,0,74,86,68
IN020040900,"MADRAS MINAMBAKKAM, IN",1/31/1990,0,75,86,
IN020040900,"MADRAS MINAMBAKKAM, IN",2/1/1990,0,75,86,65
IN020040900,"MADRAS MINAMBAKKAM, IN",2/2/1990,0,76,85,66
IN020040900,"MADRAS MINAMBAKKAM, IN",2/3/1990,0,75,86,67
IN020040900,"MADRAS MINAMBAKKAM, IN",2/4/1990,1.22,76,,
IN020040900,"MADRAS MINAMBAKKAM, IN",2/5/1990,0,78,,66
IN020040900,"MADRAS MINAMBAKKAM, IN",2/6/1990,0,76,86,68
IN020040900,"MADRAS MINAMBAKKAM, IN",2/7/1990,0,77,86,69
IN020040900,"MADRAS MINAMBAKKAM, IN",2/8/1990,0,78,87,72
IN020040900,"MADRAS MINAMBAKKAM, IN",2/9/1990,0,79,87,71
IN020040900,"MADRAS MINAMBAKKAM, IN",2/10/1990,0,80,88,72
IN020040900,"MADRAS MINAMBAKKAM, IN",2/11/1990,0,80,88,73
IN020040900,"MADRAS MINAMBAKKAM, IN",2/12/1990,0,80,88,73
IN020040900,"MADRAS MINAMBAKKAM, IN",2/13/1990,0,79,,
IN020040900,"MADRAS MINAMBAKKAM, IN",2/14/1990,0,79,89,72
IN020040900,"MADRAS MINAMBAKKAM, IN",2/15/1990,0,82,,
IN020040900,"MADRAS MINAMBAKKAM, IN",2/16/1990,0,81,87,76
IN020040900,"MADRAS MINAMBAKKAM, IN",2/17/1990,0,81,90,76
IN020040900,"MADRAS MINAMBAKKAM, IN",2/18/1990,0,82,,77
IN020040900,"MADRAS MINAMBAKKAM, IN",2/19/1990,,82,91,77
IN020040900,"MADRAS MINAMBAKKAM, IN",2/20/1990,0.21,81,91,74
IN020040900,"MADRAS MINAMBAKKAM, IN",2/21/1990,0,83,97,77
IN020040900,"MADRAS MINAMBAKKAM, IN",2/22/1990,0,83,93,75
IN020040900,"MADRAS MINAMBAKKAM, IN",2/23/1990,0,83,91,76
IN020040900,"MADRAS MINAMBAKKAM, IN",2/24/1990,0,83,93,78
IN020040900,"MADRAS MINAMBAKKAM, IN",2/25/1990,0,83,94,77
IN020040900,"MADRAS MINAMBAKKAM, IN",2/26/1990,0,84,97,78
IN020040900,"MADRAS MINAMBAKKAM, IN",2/27/1990,0,85,93,76
IN020040900,"MADRAS MINAMBAKKAM, IN",2/28/1990,0,85,94,77
IN020040900,"MADRAS MINAMBAKKAM, IN",3/1/1990,0,83,92,75
IN020040900,"MADRAS MINAMBAKKAM, IN",3/2/1990,0,82,91,75
IN020040900,"MADRAS MINAMBAKKAM, IN",3/3/1990,0,86,96,76
IN020040900,"MADRAS MINAMBAKKAM, IN",3/4/1990,0,84,92,
IN020040900,"MADRAS MINAMBAKKAM, IN",3/5/1990,0,84,96,79
IN020040900,"MADRAS MINAMBAKKAM, IN",3/6/1990,0,83,90,
IN020040900,"MADRAS MINAMBAKKAM, IN",3/7/1990,0,84,95,79
IN020040900,"MADRAS MINAMBAKKAM, IN",3/8/1990,0,83,95,79
IN020040900,"MADRAS MINAMBAKKAM, IN",3/9/1990,,82,90,77
IN020040900,"MADRAS MINAMBAKKAM, IN",3/10/1990,,81,86,76
IN020040900,"MADRAS MINAMBAKKAM, IN",3/11/1990,,79,87,74
IN020040900,"MADRAS MINAMBAKKAM, IN",3/12/1990,0,82,90,76
IN020040900,"MADRAS MINAMBAKKAM, IN",3/13/1990,0,84,94,76
IN020040900,"MADRAS MINAMBAKKAM, IN",3/14/1990,0,85,95,79
IN020040900,"MADRAS MINAMBAKKAM, IN",3/15/1990,0,85,94,78
IN020040900,"MADRAS MINAMBAKKAM, IN",3/16/1990,0,83,,
IN020040900,"MADRAS MINAMBAKKAM, IN",3/17/1990,0,83,90,75
IN020040900,"MADRAS MINAMBAKKAM, IN",3/18/1990,0,82,90,75
IN020040900,"MADRAS MINAMBAKKAM, IN",3/19/1990,,83,90,73
IN020040900,"MADRAS MINAMBAKKAM, IN",3/20/1990,0,83,92,
IN020040900,"MADRAS MINAMBAKKAM, IN",3/21/1990,0,83,93,76
IN020040900,"MADRAS MINAMBAKKAM, IN",3/22/1990,0,83,93,76
IN020040900,"MADRAS MINAMBAKKAM, IN",3/23/1990,0,85,97,76
IN020040900,"MADRAS MINAMBAKKAM, IN",3/24/1990,0,87,98,70
IN020040900,"MADRAS MINAMBAKKAM, IN",3/25/1990,,87,,
IN020040900,"MADRAS MINAMBAKKAM, IN",3/26/1990,0,86,99,
IN020040900,"MADRAS MINAMBAKKAM, IN",3/27/1990,0.28,83,94,
IN020040900,"MADRAS MINAMBAKKAM, IN",3/28/1990,0,86,95,79
IN020040900,"MADRAS MINAMBAKKAM, IN",3/29/1990,0,85,93,80
IN020040900,"MADRAS MINAMBAKKAM, IN",3/30/1990,0,84,92,78
IN020040900,"MADRAS MINAMBAKKAM, IN",3/31/1990,0,84,92,77
IN020040900,"MADRAS MINAMBAKKAM, IN",4/1/1990,0,84,93,77
IN020040900,"MADRAS MINAMBAKKAM, IN",4/2/1990,0,83,96,77
IN020040900,"MADRAS MINAMBAKKAM, IN",4/3/1990,0,85,,80
IN020040900,"MADRAS MINAMBAKKAM, IN",4/4/1990,0,86,95,79
IN020040900,"MADRAS MINAMBAKKAM, IN",4/5/1990,0,86,96,
IN020040900,"MADRAS MINAMBAKKAM, IN",4/6/1990,0,87,,79
IN020040900,"MADRAS MINAMBAKKAM, IN",4/7/1990,0,86,92,79
IN020040900,"MADRAS MINAMBAKKAM, IN",4/8/1990,0,85,94,78
IN020040900,"MADRAS MINAMBAKKAM, IN",4/9/1990,0,86,,79
IN020040900,"MADRAS MINAMBAKKAM, IN",4/10/1990,0,87,99,80
IN020040900,"MADRAS MINAMBAKKAM, IN",4/11/1990,0,89,98,80
IN020040900,"MADRAS MINAMBAKKAM, IN",4/12/1990,0,86,94,81
