STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN022021900,"NEW DELHI SAFDARJUN, IN",1/1/1990,0,49,59,43
IN022021900,"NEW DELHI SAFDARJUN, IN",1/2/1990,0,49,58,41
IN022021900,"NEW DELHI SAFDARJUN, IN",1/3/1990,0,48,56,44
IN022021900,"NEW DELHI SAFDARJUN, IN",1/4/1990,0,51,63,43
IN022021900,"NEW DELHI SAFDARJUN, IN",1/5/1990,0,55,69,45
IN022021900,"NEW DELHI SAFDARJUN, IN",1/6/1990,0,59,73,47
IN022021900,"NEW DELHI SAFDARJUN, IN",1/7/1990,0,58,71,47
IN022021900,"NEW DELHI SAFDARJUN, IN",1/8/1990,0,51,62,47
IN022021900,"NEW DELHI SAFDARJUN, IN",1/9/1990,0,56,69,45
IN022021900,"NEW DELHI SAFDARJUN, IN",1/10/1990,0,62,73,
IN022021900,"NEW DELHI SAFDARJUN, IN",1/11/1990,0,63,78,52
IN022021900,"NEW DELHI SAFDARJUN, IN",1/12/1990,0,64,,50
IN022021900,"NEW DELHI SAFDARJUN, IN",1/13/1990,0,63,82,48
IN022021900,"NEW DELHI SAFDARJUN, IN",1/14/1990,0,62,75,51
IN022021900,"NEW DELHI SAFDARJUN, IN",1/15/1990,0,58,74,
IN022021900,"NEW DELHI SAFDARJUN, IN",1/16/1990,0,59,75,45
IN022021900,"NEW DELHI SAFDARJUN, IN",1/17/1990,0,64,79,50
IN022021900,"NEW DELHI SAFDARJUN, IN",1/18/1990,0,67,82,56
IN022021900,"NEW DELHI SAFDARJUN, IN",1/19/1990,0,66,78,54
IN022021900,"NEW DELHI SAFDARJUN, IN",1/20/1990,0,68,80,57
IN022021900,"NEW DELHI SAFDARJUN, IN",1/21/1990,0,66,81,54
IN022021900,"NEW DELHI SAFDARJUN, IN",1/22/1990,0,67,82,54
IN022021900,"NEW DELHI SAFDARJUN, IN",1/23/1990,0,64,,54
IN022021900,"NEW DELHI SAFDARJUN, IN",1/24/1990,0,62,78,
IN022021900,"NEW DELHI SAFDARJUN, IN",1/25/1990,0,64,79,
IN022021900,"NEW DELHI SAFDARJUN, IN",1/26/1990,0,67,84,49
IN022021900,"NEW DELHI SAFDARJUN, IN",1/27/1990,0,68,79,56
IN022021900,"NEW DELHI SAFDARJUN, IN",1/28/1990,0,65,78,
IN022021900,"NEW DELHI SAFDARJUN, IN",1/29/1990,0,59,71,49
IN022021900,"NEW DELHI SAFDARJUN, IN",1/30/1990,0,60,72,50
IN022021900,"NEW DELHI SAFDARJUN, IN",1/31/1990,0,63,77,49
IN022021900,"NEW DELHI SAFDARJUN, IN",2/1/1990,0,64,76,
IN022021900,"NEW DELHI SAFDARJUN, IN",2/2/1990,0,56,70,
IN022021900,"NEW DELHI SAFDARJUN, IN",2/3/1990,0,58,71,45
IN022021900,"NEW DELHI SAFDARJUN, IN",2/4/1990,0,60,75,48
IN022021900,"NEW DELHI SAFDARJUN, IN",2/5/1990,0,60,,48
IN022021900,"NEW DELHI SAFDARJUN, IN",2/6/1990,0,58,,49
IN022021900,"NEW DELHI SAFDARJUN, IN",2/7/1990,0,65,77,55
IN022021900,"NEW DELHI SAFDARJUN, IN",2/8/1990,,67,76,
IN022021900,"NEW DELHI SAFDARJUN, IN",2/9/1990,0.02,69,80,57
IN022021900,"NEW DELHI SAFDARJUN, IN",2/10/1990,0,66,80,57
IN022021900,"NEW DELHI SAFDARJUN, IN",2/11/1990,0,65,74,53
IN022021900,"NEW DELHI SAFDARJUN, IN",2/12/1990,0,63,70,59
IN022021900,"NEW DELHI SAFDARJUN, IN",2/13/1990,,61,66,
IN022021900,"NEW DELHI SAFDARJUN, IN",2/14/1990,0,58,67,
IN022021900,"NEW DELHI SAFDARJUN, IN",2/15/1990,0,58,70,49
IN022021900,"NEW DELHI SAFDARJUN, IN",2/16/1990,0,58,71,48
IN022021900,"NEW DELHI SAFDARJUN, IN",2/17/1990,,61,71,47
IN022021900,"NEW DELHI SAFDARJUN, IN",2/18/1990,1.77,57,62,54
