STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN001080500,"BEGUMPET OBSERVATORY, IN",1/1/1990,0.07,73,81,67
IN001080500,"BEGUMPET OBSERVATORY, IN",1/2/1990,0,73,81,67
IN001080500,"BEGUMPET OBSERVATORY, IN",1/3/1990,0,71,81,64
IN001080500,"BEGUMPET OBSERVATORY, IN",1/4/1990,0,72,82,62
IN001080500,"BEGUMPET OBSERVATORY, IN",1/5/1990,0,71,81,61
IN001080500,"BEGUMPET OBSERVATORY, IN",1/6/1990,0,74,82,60
IN001080500,"BEGUMPET OBSERVATORY, IN",1/7/1990,0,71,80,56
IN001080500,"BEGUMPET OBSERVATORY, IN",1/8/1990,,71,77,65
IN001080500,"BEGUMPET OBSERVATORY, IN",1/9/1990,0,73,83,62
IN001080500,"BEGUMPET OBSERVATORY, IN",1/10/1990,0,73,85,61
IN001080500,"BEGUMPET OBSERVATORY, IN",1/11/1990,0,72,86,59
IN001080500,"BEGUMPET OBSERVATORY, IN",1/12/1990,0,72,87,56
IN001080500,"BEGUMPET OBSERVATORY, IN",1/13/1990,0,73,88,54
IN001080500,"BEGUMPET OBSERVATORY, IN",1/14/1990,0,74,89,56
IN001080500,"BEGUMPET OBSERVATORY, IN",1/15/1990,0,76,89,57
IN001080500,"BEGUMPET OBSERVATORY, IN",1/16/1990,,73,87,58
IN001080500,"BEGUMPET OBSERVATORY, IN",1/17/1990,0,74,87,57
IN001080500,"BEGUMPET OBSERVATORY, IN",1/18/1990,0,75,86,56
IN001080500,"BEGUMPET OBSERVATORY, IN",1/19/1990,0,73,89,55
IN001080500,"BEGUMPET OBSERVATORY, IN",1/20/1990,0,72,,56
IN001080500,"BEGUMPET OBSERVATORY, IN",1/21/1990,0,75,89,
IN001080500,"BEGUMPET OBSERVATORY, IN",1/22/1990,0,71,88,57
IN001080500,"BEGUMPET OBSERVATORY, IN",1/23/1990,0,75,87,
IN001080500,"BEGUMPET OBSERVATORY, IN",1/24/1990,0,76,89,59
IN001080500,"BEGUMPET OBSERVATORY, IN",1/25/1990,0,74,90,59
IN001080500,"BEGUMPET OBSERVATORY, IN",1/26/1990,0,76,89,58
