STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN019131301,"JAIPUR SANGANER, IN",1/1/1990,0,55,73,
IN019131301,"JAIPUR SANGANER, IN",1/2/1990,0,55,69,39
IN019131301,"JAIPUR SANGANER, IN",1/3/1990,0,56,71,42
IN019131301,"JAIPUR SANGANER, IN",1/4/1990,0,59,76,
IN019131301,"JAIPUR SANGANER, IN",1/5/1990,0,59,76,
IN019131301,"JAIPUR SANGANER, IN",1/6/1990,0,63,77,
IN019131301,"JAIPUR SANGANER, IN",1/7/1990,0,64,74,55
IN019131301,"JAIPUR SANGANER, IN",1/8/1990,0,56,74,
IN019131301,"JAIPUR SANGANER, IN",1/9/1990,0,57,73,
IN019131301,"JAIPUR SANGANER, IN",1/10/1990,0,60,75,43
IN019131301,"JAIPUR SANGANER, IN",1/11/1990,0,63,79,
IN019131301,"JAIPUR SANGANER, IN",1/12/1990,0,65,83,
IN019131301,"JAIPUR SANGANER, IN",1/13/1990,0,67,86,
IN019131301,"JAIPUR SANGANER, IN",1/14/1990,0,63,78,
IN019131301,"JAIPUR SANGANER, IN",1/15/1990,0,60,75,45
IN019131301,"JAIPUR SANGANER, IN",1/16/1990,0,62,79,
IN019131301,"JAIPUR SANGANER, IN",1/17/1990,0,65,85,
IN019131301,"JAIPUR SANGANER, IN",1/18/1990,0,67,85,
IN019131301,"JAIPUR SANGANER, IN",1/19/1990,0,65,84,
IN019131301,"JAIPUR SANGANER, IN",1/20/1990,0,67,82,
IN019131301,"JAIPUR SANGANER, IN",1/21/1990,0,70,84,
IN019131301,"JAIPUR SANGANER, IN",1/22/1990,0,70,84,
IN019131301,"JAIPUR SANGANER, IN",1/23/1990,0,67,81,54
IN019131301,"JAIPUR SANGANER, IN",1/24/1990,0,67,80,
IN019131301,"JAIPUR SANGANER, IN",1/25/1990,0,66,84,
IN019131301,"JAIPUR SANGANER, IN",1/26/1990,0,71,,53
IN019131301,"JAIPUR SANGANER, IN",1/27/1990,0,69,,52
IN019131301,"JAIPUR SANGANER, IN",1/28/1990,0,60,86,
IN019131301,"JAIPUR SANGANER, IN",1/29/1990,0,58,77,
IN019131301,"JAIPUR SANGANER, IN",1/30/1990,0,59,78,
IN019131301,"JAIPUR SANGANER, IN",1/31/1990,0,61,80,46
IN019131301,"JAIPUR SANGANER, IN",2/1/1990,,62,80,
IN019131301,"JAIPUR SANGANER, IN",2/2/1990,0,59,,
IN019131301,"JAIPUR SANGANER, IN",2/3/1990,0,62,77,43
IN019131301,"JAIPUR SANGANER, IN",2/4/1990,0,61,77,
IN019131301,"JAIPUR SANGANER, IN",2/5/1990,0,64,81,
IN019131301,"JAIPUR SANGANER, IN",2/6/1990,,62,,54
IN019131301,"JAIPUR SANGANER, IN",2/7/1990,0,71,82,
IN019131301,"JAIPUR SANGANER, IN",2/8/1990,0,69,75,64
IN019131301,"JAIPUR SANGANER, IN",2/9/1990,0,71,82,
IN019131301,"JAIPUR SANGANER, IN",2/10/1990,0,71,,
IN019131301,"JAIPUR SANGANER, IN",2/11/1990,0,69,82,57
IN019131301,"JAIPUR SANGANER, IN",2/12/1990,0.1,68,71,63
IN019131301,"JAIPUR SANGANER, IN",2/13/1990,0,62,66,
IN019131301,"JAIPUR SANGANER, IN",2/14/1990,0.05,60,70,52
IN019131301,"JAIPUR SANGANER, IN",2/15/1990,0,58,70,47
IN019131301,"JAIPUR SANGANER, IN",2/16/1990,0,59,71,
IN019131301,"JAIPUR SANGANER, IN",2/17/1990,,64,77,
