STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN024141500,"CALCUTTA DUM DUM, IN",1/1/1990,0,61,75,48
IN024141500,"CALCUTTA DUM DUM, IN",1/3/1990,0,60,74,50
IN024141500,"CALCUTTA DUM DUM, IN",1/4/1990,0,60,75,48
IN024141500,"CALCUTTA DUM DUM, IN",1/5/1990,0,62,76,47
IN024141500,"CALCUTTA DUM DUM, IN",1/6/1990,0,63,76,49
IN024141500,"CALCUTTA DUM DUM, IN",1/7/1990,0,64,78,49
IN024141500,"CALCUTTA DUM DUM, IN",1/8/1990,0,66,80,53
IN024141500,"CALCUTTA DUM DUM, IN",1/9/1990,0,64,80,
IN024141500,"CALCUTTA DUM DUM, IN",1/10/1990,0,62,75,53
IN024141500,"CALCUTTA DUM DUM, IN",1/11/1990,0,64,76,50
IN024141500,"CALCUTTA DUM DUM, IN",1/12/1990,0,64,76,51
IN024141500,"CALCUTTA DUM DUM, IN",1/13/1990,0,62,79,52
IN024141500,"CALCUTTA DUM DUM, IN",1/14/1990,0,66,82,54
IN024141500,"CALCUTTA DUM DUM, IN",1/15/1990,0,69,85,55
IN024141500,"CALCUTTA DUM DUM, IN",1/16/1990,0,65,79,
IN024141500,"CALCUTTA DUM DUM, IN",1/17/1990,0,67,80,55
IN024141500,"CALCUTTA DUM DUM, IN",1/18/1990,0,70,85,54
IN024141500,"CALCUTTA DUM DUM, IN",1/19/1990,0,69,,57
IN024141500,"CALCUTTA DUM DUM, IN",1/20/1990,0,70,80,
IN024141500,"CALCUTTA DUM DUM, IN",1/21/1990,0,70,81,
IN024141500,"CALCUTTA DUM DUM, IN",1/22/1990,0,71,85,59
IN024141500,"CALCUTTA DUM DUM, IN",1/23/1990,0,72,85,62
IN024141500,"CALCUTTA DUM DUM, IN",1/24/1990,0,72,84,
IN024141500,"CALCUTTA DUM DUM, IN",1/25/1990,0,71,83,61
IN024141500,"CALCUTTA DUM DUM, IN",1/26/1990,0,71,85,62
IN024141500,"CALCUTTA DUM DUM, IN",1/27/1990,0,73,86,62
IN024141500,"CALCUTTA DUM DUM, IN",1/28/1990,0,75,88,64
IN024141500,"CALCUTTA DUM DUM, IN",1/29/1990,0,74,,68
IN024141500,"CALCUTTA DUM DUM, IN",1/30/1990,0,76,87,67
IN024141500,"CALCUTTA DUM DUM, IN",1/31/1990,,75,,
IN024141500,"CALCUTTA DUM DUM, IN",2/1/1990,0,77,89,58
IN024141500,"CALCUTTA DUM DUM, IN",2/2/1990,0,74,85,
IN024141500,"CALCUTTA DUM DUM, IN",2/3/1990,0,72,84,64
IN024141500,"CALCUTTA DUM DUM, IN",2/4/1990,0,74,85,58
IN024141500,"CALCUTTA DUM DUM, IN",2/5/1990,0,74,86,
IN024141500,"CALCUTTA DUM DUM, IN",2/6/1990,0,74,84,63
IN024141500,"CALCUTTA DUM DUM, IN",2/7/1990,0,73,87,62
IN024141500,"CALCUTTA DUM DUM, IN",2/8/1990,0,75,87,61
IN024141500,"CALCUTTA DUM DUM, IN",2/9/1990,0,78,,66
IN024141500,"CALCUTTA DUM DUM, IN",2/10/1990,,77,90,66
IN024141500,"CALCUTTA DUM DUM, IN",2/12/1990,0,77,87,64
IN024141500,"CALCUTTA DUM DUM, IN",2/13/1990,0,78,89,
IN024141500,"CALCUTTA DUM DUM, IN",2/14/1990,0.49,68,72,
IN024141500,"CALCUTTA DUM DUM, IN",2/15/1990,0.08,70,80,60
IN024141500,"CALCUTTA DUM DUM, IN",2/16/1990,,72,82,60
IN024141500,"CALCUTTA DUM DUM, IN",2/17/1990,0,73,84,66
IN024141500,"CALCUTTA DUM DUM, IN",2/18/1990,,73,83,65
IN024141500,"CALCUTTA DUM DUM, IN",2/19/1990,0,71,79,
IN024141500,"CALCUTTA DUM DUM, IN",2/20/1990,,70,83,64
IN024141500,"CALCUTTA DUM DUM, IN",2/21/1990,,70,82,
IN024141500,"CALCUTTA DUM DUM, IN",2/22/1990,0.39,72,81,63
IN024141500,"CALCUTTA DUM DUM, IN",2/23/1990,0,70,82,
IN024141500,"CALCUTTA DUM DUM, IN",2/24/1990,,70,84,63
IN024141500,"CALCUTTA DUM DUM, IN",2/25/1990,,73,86,62
IN024141500,"CALCUTTA DUM DUM, IN",2/26/1990,0,71,,65
IN024141500,"CALCUTTA DUM DUM, IN",2/27/1990,0,78,89,65
IN024141500,"CALCUTTA DUM DUM, IN",2/28/1990,0,77,88,68
IN024141500,"CALCUTTA DUM DUM, IN",3/1/1990,,75,85,70
IN024141500,"CALCUTTA DUM DUM, IN",3/2/1990,,74,82,
IN024141500,"CALCUTTA DUM DUM, IN",3/3/1990,0.09,69,76,
IN024141500,"CALCUTTA DUM DUM, IN",3/4/1990,0,70,79,65
IN024141500,"CALCUTTA DUM DUM, IN",3/5/1990,0,74,82,61
IN024141500,"CALCUTTA DUM DUM, IN",3/6/1990,0.03,67,71,
IN024141500,"CALCUTTA DUM DUM, IN",3/7/1990,0.07,72,82,61
IN024141500,"CALCUTTA DUM DUM, IN",3/8/1990,0,74,86,
IN024141500,"CALCUTTA DUM DUM, IN",3/9/1990,0,76,87,65
IN024141500,"CALCUTTA DUM DUM, IN",3/10/1990,0,75,88,68
IN024141500,"CALCUTTA DUM DUM, IN",3/11/1990,0,79,87,
IN024141500,"CALCUTTA DUM DUM, IN",3/12/1990,0,75,87,
IN024141500,"CALCUTTA DUM DUM, IN",3/13/1990,0,71,83,65
IN024141500,"CALCUTTA DUM DUM, IN",3/14/1990,0,75,85,64
IN024141500,"CALCUTTA DUM DUM, IN",3/15/1990,0,77,87,65
IN024141500,"CALCUTTA DUM DUM, IN",3/16/1990,0,78,87,67
IN024141500,"CALCUTTA DUM DUM, IN",3/17/1990,0,78,90,68
IN024141500,"CALCUTTA DUM DUM, IN",3/18/1990,0,82,91,67
IN024141500,"CALCUTTA DUM DUM, IN",3/19/1990,0,83,,69
IN024141500,"CALCUTTA DUM DUM, IN",3/20/1990,,83,96,71
IN024141500,"CALCUTTA DUM DUM, IN",3/21/1990,0,84,96,74
IN024141500,"CALCUTTA DUM DUM, IN",3/22/1990,0,84,97,75
IN024141500,"CALCUTTA DUM DUM, IN",3/23/1990,,83,,
IN024141500,"CALCUTTA DUM DUM, IN",3/24/1990,,78,92,
IN024141500,"CALCUTTA DUM DUM, IN",3/25/1990,0,74,81,
IN024141500,"CALCUTTA DUM DUM, IN",3/26/1990,0,76,83,68
IN024141500,"CALCUTTA DUM DUM, IN",3/27/1990,,72,83,
IN024141500,"CALCUTTA DUM DUM, IN",3/28/1990,,73,83,
IN024141500,"CALCUTTA DUM DUM, IN",3/29/1990,,73,84,
IN024141500,"CALCUTTA DUM DUM, IN",3/30/1990,0,79,90,68
IN024141500,"CALCUTTA DUM DUM, IN",3/31/1990,,79,91,
IN024141500,"CALCUTTA DUM DUM, IN",4/1/1990,0.18,78,90,68
IN024141500,"CALCUTTA DUM DUM, IN",4/2/1990,0,81,90,71
IN024141500,"CALCUTTA DUM DUM, IN",4/3/1990,,78,89,
IN024141500,"CALCUTTA DUM DUM, IN",4/4/1990,,72,81,
IN024141500,"CALCUTTA DUM DUM, IN",4/5/1990,0,75,87,60
IN024141500,"CALCUTTA DUM DUM, IN",4/6/1990,0,79,87,69
IN024141500,"CALCUTTA DUM DUM, IN",4/7/1990,0,81,91,74
IN024141500,"CALCUTTA DUM DUM, IN",4/8/1990,,81,93,73
IN024141500,"CALCUTTA DUM DUM, IN",4/9/1990,0,85,95,75
IN024141500,"CALCUTTA DUM DUM, IN",4/10/1990,0,87,97,78
IN024141500,"CALCUTTA DUM DUM, IN",4/11/1990,0,85,99,
IN024141500,"CALCUTTA DUM DUM, IN",4/12/1990,0,87,100,79
IN024141500,"CALCUTTA DUM DUM, IN",4/13/1990,,87,,80
IN024141500,"CALCUTTA DUM DUM, IN",4/14/1990,0,88,99,80
IN024141500,"CALCUTTA DUM DUM, IN",4/15/1990,0,87,95,80
IN024141500,"CALCUTTA DUM DUM, IN",4/16/1990,0,85,94,
IN024141500,"CALCUTTA DUM DUM, IN",4/17/1990,0,86,97,80
IN024141500,"CALCUTTA DUM DUM, IN",4/18/1990,0,87,97,81
IN024141500,"CALCUTTA DUM DUM, IN",4/19/1990,0,85,92,80
IN024141500,"CALCUTTA DUM DUM, IN",4/20/1990,0,86,95,82
IN024141500,"CALCUTTA DUM DUM, IN",4/21/1990,0,88,97,82
IN024141500,"CALCUTTA DUM DUM, IN",4/22/1990,0,87,,
IN024141500,"CALCUTTA DUM DUM, IN",4/23/1990,0,88,96,82
IN024141500,"CALCUTTA DUM DUM, IN",4/24/1990,0,87,96,81
IN024141500,"CALCUTTA DUM DUM, IN",4/25/1990,0,87,95,80
IN024141500,"CALCUTTA DUM DUM, IN",4/26/1990,,84,95,
IN024141500,"CALCUTTA DUM DUM, IN",4/27/1990,0,86,94,
IN024141500,"CALCUTTA DUM DUM, IN",4/28/1990,,82,94,
IN024141500,"CALCUTTA DUM DUM, IN",4/29/1990,0,80,91,
IN024141500,"CALCUTTA DUM DUM, IN",4/30/1990,0,84,95,71
IN024141500,"CALCUTTA DUM DUM, IN",5/1/1990,0,84,95,74
IN024141500,"CALCUTTA DUM DUM, IN",5/2/1990,,86,96,78
IN024141500,"CALCUTTA DUM DUM, IN",5/3/1990,0.02,87,96,78
