STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN023351400,"LUCKNOW AMAUSI, IN",1/1/1990,0,45,64,
IN023351400,"LUCKNOW AMAUSI, IN",1/2/1990,0,51,63,
IN023351400,"LUCKNOW AMAUSI, IN",1/3/1990,,50,65,35
IN023351400,"LUCKNOW AMAUSI, IN",1/4/1990,0,48,67,
IN023351400,"LUCKNOW AMAUSI, IN",1/5/1990,0,56,75,
IN023351400,"LUCKNOW AMAUSI, IN",1/6/1990,0,53,70,42
IN023351400,"LUCKNOW AMAUSI, IN",1/7/1990,0,57,74,42
IN023351400,"LUCKNOW AMAUSI, IN",1/8/1990,0,63,76,
IN023351400,"LUCKNOW AMAUSI, IN",1/9/1990,0,52,76,
IN023351400,"LUCKNOW AMAUSI, IN",1/10/1990,0,58,74,39
IN023351400,"LUCKNOW AMAUSI, IN",1/11/1990,0,55,74,41
IN023351400,"LUCKNOW AMAUSI, IN",1/12/1990,0,54,70,45
IN023351400,"LUCKNOW AMAUSI, IN",1/13/1990,0,59,,
IN023351400,"LUCKNOW AMAUSI, IN",1/14/1990,0,63,83,44
IN023351400,"LUCKNOW AMAUSI, IN",1/15/1990,0,62,77,48
IN023351400,"LUCKNOW AMAUSI, IN",1/16/1990,0,60,77,
IN023351400,"LUCKNOW AMAUSI, IN",1/17/1990,0,63,80,
IN023351400,"LUCKNOW AMAUSI, IN",1/18/1990,0,68,85,55
IN023351400,"LUCKNOW AMAUSI, IN",1/19/1990,,69,85,55
IN023351400,"LUCKNOW AMAUSI, IN",1/20/1990,0,63,83,51
IN023351400,"LUCKNOW AMAUSI, IN",1/21/1990,0,65,79,
IN023351400,"LUCKNOW AMAUSI, IN",1/22/1990,0,68,83,51
IN023351400,"LUCKNOW AMAUSI, IN",1/23/1990,0,66,84,56
IN023351400,"LUCKNOW AMAUSI, IN",1/24/1990,0,65,84,
IN023351400,"LUCKNOW AMAUSI, IN",1/25/1990,,66,79,
IN023351400,"LUCKNOW AMAUSI, IN",1/26/1990,0,66,82,
IN023351400,"LUCKNOW AMAUSI, IN",1/27/1990,0,66,86,49
IN023351400,"LUCKNOW AMAUSI, IN",1/28/1990,0,69,84,
IN023351400,"LUCKNOW AMAUSI, IN",1/29/1990,0,70,84,
IN023351400,"LUCKNOW AMAUSI, IN",1/30/1990,0,60,79,
IN023351400,"LUCKNOW AMAUSI, IN",1/31/1990,0,63,79,50
IN023351400,"LUCKNOW AMAUSI, IN",2/1/1990,0,63,82,
IN023351400,"LUCKNOW AMAUSI, IN",2/2/1990,0,59,82,
IN023351400,"LUCKNOW AMAUSI, IN",2/4/1990,0,63,76,
IN023351400,"LUCKNOW AMAUSI, IN",2/5/1990,0.94,61,,48
IN023351400,"LUCKNOW AMAUSI, IN",2/6/1990,0,59,,
IN023351400,"LUCKNOW AMAUSI, IN",2/7/1990,0,69,78,50
IN023351400,"LUCKNOW AMAUSI, IN",2/8/1990,,69,79,55
IN023351400,"LUCKNOW AMAUSI, IN",2/9/1990,0,68,82,
IN023351400,"LUCKNOW AMAUSI, IN",2/10/1990,0,68,82,
IN023351400,"LUCKNOW AMAUSI, IN",2/11/1990,0,69,84,55
IN023351400,"LUCKNOW AMAUSI, IN",2/12/1990,,68,82,55
IN023351400,"LUCKNOW AMAUSI, IN",2/13/1990,,62,67,
IN023351400,"LUCKNOW AMAUSI, IN",2/14/1990,0,64,74,
IN023351400,"LUCKNOW AMAUSI, IN",2/15/1990,0,62,75,51
IN023351400,"LUCKNOW AMAUSI, IN",2/16/1990,0,62,75,50
IN023351400,"LUCKNOW AMAUSI, IN",2/17/1990,0,63,77,47
IN023351400,"LUCKNOW AMAUSI, IN",2/18/1990,0.5,61,77,56
IN023351400,"LUCKNOW AMAUSI, IN",2/19/1990,0,63,74,54
IN023351400,"LUCKNOW AMAUSI, IN",2/20/1990,0,63,,53
IN023351400,"LUCKNOW AMAUSI, IN",2/21/1990,0,63,77,51
IN023351400,"LUCKNOW AMAUSI, IN",2/22/1990,0,63,77,
IN023351400,"LUCKNOW AMAUSI, IN",2/23/1990,0,63,80,49
IN023351400,"LUCKNOW AMAUSI, IN",2/24/1990,,62,80,
IN023351400,"LUCKNOW AMAUSI, IN",2/25/1990,0.28,64,74,54
IN023351400,"LUCKNOW AMAUSI, IN",2/26/1990,0.09,67,78,
IN023351400,"LUCKNOW AMAUSI, IN",2/27/1990,0,63,,59
IN023351400,"LUCKNOW AMAUSI, IN",2/28/1990,0.29,65,78,58
IN023351400,"LUCKNOW AMAUSI, IN",3/1/1990,0,63,78,
IN023351400,"LUCKNOW AMAUSI, IN",3/2/1990,0,60,77,
IN023351400,"LUCKNOW AMAUSI, IN",3/3/1990,0,62,74,
IN023351400,"LUCKNOW AMAUSI, IN",3/4/1990,0,62,78,47
IN023351400,"LUCKNOW AMAUSI, IN",3/5/1990,,66,78,
IN023351400,"LUCKNOW AMAUSI, IN",3/6/1990,0,65,80,
IN023351400,"LUCKNOW AMAUSI, IN",3/7/1990,0,65,81,52
IN023351400,"LUCKNOW AMAUSI, IN",3/8/1990,0,68,84,50
IN023351400,"LUCKNOW AMAUSI, IN",3/9/1990,0,73,86,52
IN023351400,"LUCKNOW AMAUSI, IN",3/10/1990,0,70,88,
IN023351400,"LUCKNOW AMAUSI, IN",3/11/1990,0,74,87,
IN023351400,"LUCKNOW AMAUSI, IN",3/12/1990,,71,87,58
IN023351400,"LUCKNOW AMAUSI, IN",3/13/1990,0,72,86,55
IN023351400,"LUCKNOW AMAUSI, IN",3/14/1990,0,72,86,
IN023351400,"LUCKNOW AMAUSI, IN",3/15/1990,0,73,88,59
IN023351400,"LUCKNOW AMAUSI, IN",3/16/1990,,77,89,59
IN023351400,"LUCKNOW AMAUSI, IN",3/17/1990,0,77,91,62
IN023351400,"LUCKNOW AMAUSI, IN",3/18/1990,0,79,93,
IN023351400,"LUCKNOW AMAUSI, IN",3/19/1990,0,79,97,63
IN023351400,"LUCKNOW AMAUSI, IN",3/20/1990,0,79,97,64
IN023351400,"LUCKNOW AMAUSI, IN",3/21/1990,0,78,97,63
IN023351400,"LUCKNOW AMAUSI, IN",3/22/1990,0,79,96,66
IN023351400,"LUCKNOW AMAUSI, IN",3/23/1990,0.03,76,96,
IN023351400,"LUCKNOW AMAUSI, IN",3/24/1990,0,69,84,
IN023351400,"LUCKNOW AMAUSI, IN",3/25/1990,0,70,87,50
IN023351400,"LUCKNOW AMAUSI, IN",3/26/1990,0,71,87,
IN023351400,"LUCKNOW AMAUSI, IN",3/27/1990,,74,86,61
IN023351400,"LUCKNOW AMAUSI, IN",3/28/1990,0,74,86,63
IN023351400,"LUCKNOW AMAUSI, IN",3/29/1990,0,74,89,62
IN023351400,"LUCKNOW AMAUSI, IN",3/30/1990,0,80,95,62
IN023351400,"LUCKNOW AMAUSI, IN",4/1/1990,0,77,90,
IN023351400,"LUCKNOW AMAUSI, IN",4/2/1990,0,76,87,
IN023351400,"LUCKNOW AMAUSI, IN",4/3/1990,0,74,,55
IN023351400,"LUCKNOW AMAUSI, IN",4/4/1990,0,76,,56
IN023351400,"LUCKNOW AMAUSI, IN",4/6/1990,0,79,93,
IN023351400,"LUCKNOW AMAUSI, IN",4/7/1990,0,82,95,
IN023351400,"LUCKNOW AMAUSI, IN",4/8/1990,,83,98,
IN023351400,"LUCKNOW AMAUSI, IN",4/9/1990,,77,98,68
IN023351400,"LUCKNOW AMAUSI, IN",4/10/1990,,85,98,64
IN023351400,"LUCKNOW AMAUSI, IN",4/11/1990,,92,104,
