STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN020081700,"MADURAI, IN",4/1/1998,,89,100,80
IN020081700,"MADURAI, IN",12/7/2015,0.08,76,85,74
IN020081700,"MADURAI, IN",12/8/2015,0.31,76,,73
IN020081700,"MADURAI, IN",12/9/2015,0.08,78,85,
IN020081700,"MADURAI, IN",12/10/2015,0,80,,74
IN020081700,"MADURAI, IN",12/11/2015,0.08,81,89,73
IN020081700,"MADURAI, IN",12/12/2015,0.04,80,89,
IN020081700,"MADURAI, IN",12/13/2015,0.03,81,89,75
IN020081700,"MADURAI, IN",12/14/2015,0,80,89,74
IN020081700,"MADURAI, IN",12/15/2015,,81,,74
IN020081700,"MADURAI, IN",12/16/2015,0.01,80,89,
IN020081700,"MADURAI, IN",12/17/2015,0,80,88,69
IN020081700,"MADURAI, IN",12/18/2015,,79,88,
IN020081700,"MADURAI, IN",12/19/2015,0.28,78,86,
IN020081700,"MADURAI, IN",12/20/2015,0.12,79,86,72
IN020081700,"MADURAI, IN",12/21/2015,0.12,80,87,73
IN020081700,"MADURAI, IN",12/22/2015,0,79,,68
IN020081700,"MADURAI, IN",12/23/2015,,81,89,71
IN020081700,"MADURAI, IN",12/24/2015,,79,89,71
IN020081700,"MADURAI, IN",12/25/2015,,80,88,
IN020081700,"MADURAI, IN",12/26/2015,,80,88,72
IN020081700,"MADURAI, IN",12/27/2015,,79,87,71
IN020081700,"MADURAI, IN",12/28/2015,0.03,78,86,
IN020081700,"MADURAI, IN",12/29/2015,0,79,86,
IN020081700,"MADURAI, IN",12/30/2015,,81,,
IN020081700,"MADURAI, IN",12/31/2015,,79,88,69
IN020081700,"MADURAI, IN",1/1/2016,,79,88,69
IN020081700,"MADURAI, IN",1/2/2016,,79,88,69
IN020081700,"MADURAI, IN",1/3/2016,,78,89,69
IN020081700,"MADURAI, IN",1/4/2016,,79,89,69
IN020081700,"MADURAI, IN",1/5/2016,,80,,69
IN020081700,"MADURAI, IN",1/6/2016,,79,89,
IN020081700,"MADURAI, IN",1/7/2016,,80,89,72
IN020081700,"MADURAI, IN",1/8/2016,,80,90,
IN020081700,"MADURAI, IN",1/9/2016,,78,90,
IN020081700,"MADURAI, IN",1/10/2016,,79,88,70
IN020081700,"MADURAI, IN",1/11/2016,,79,88,71
IN020081700,"MADURAI, IN",1/12/2016,,78,88,69
IN020081700,"MADURAI, IN",1/13/2016,,78,88,68
IN020081700,"MADURAI, IN",1/14/2016,,78,,68
IN020081700,"MADURAI, IN",1/15/2016,,78,89,66
IN020081700,"MADURAI, IN",1/16/2016,,79,88,67
IN020081700,"MADURAI, IN",1/17/2016,,79,,69
IN020081700,"MADURAI, IN",1/18/2016,,79,88,69
IN020081700,"MADURAI, IN",1/19/2016,,80,89,72
IN020081700,"MADURAI, IN",1/20/2016,,81,90,
IN020081700,"MADURAI, IN",1/21/2016,,81,89,
IN020081700,"MADURAI, IN",1/22/2016,,81,,
IN020081700,"MADURAI, IN",1/23/2016,,80,91,72
IN020081700,"MADURAI, IN",1/24/2016,,81,91,73
IN020081700,"MADURAI, IN",1/25/2016,,82,92,74
IN020081700,"MADURAI, IN",1/26/2016,,81,90,72
IN020081700,"MADURAI, IN",1/27/2016,,81,91,74
IN020081700,"MADURAI, IN",1/28/2016,,81,91,70
IN020081700,"MADURAI, IN",1/29/2016,,81,92,69
IN020081700,"MADURAI, IN",1/30/2016,,81,,70
IN020081700,"MADURAI, IN",1/31/2016,,81,91,70
IN020081700,"MADURAI, IN",2/1/2016,,80,91,71
IN020081700,"MADURAI, IN",2/2/2016,,80,,68
IN020081700,"MADURAI, IN",2/3/2016,,80,92,
IN020081700,"MADURAI, IN",2/4/2016,,80,92,68
IN020081700,"MADURAI, IN",2/5/2016,,78,94,69
IN020081700,"MADURAI, IN",2/6/2016,,80,92,
IN020081700,"MADURAI, IN",2/7/2016,,82,91,74
IN020081700,"MADURAI, IN",2/8/2016,,83,93,75
IN020081700,"MADURAI, IN",2/9/2016,,83,93,75
IN020081700,"MADURAI, IN",2/10/2016,,83,94,75
IN020081700,"MADURAI, IN",2/11/2016,,83,94,72
IN020081700,"MADURAI, IN",2/12/2016,,82,94,71
IN020081700,"MADURAI, IN",2/13/2016,,82,95,71
IN020081700,"MADURAI, IN",2/14/2016,,82,94,
IN020081700,"MADURAI, IN",2/15/2016,,83,,71
IN020081700,"MADURAI, IN",2/16/2016,,83,94,
IN020081700,"MADURAI, IN",2/17/2016,,85,94,76
IN020081700,"MADURAI, IN",2/18/2016,,85,94,
IN020081700,"MADURAI, IN",2/19/2016,,84,94,75
IN020081700,"MADURAI, IN",2/20/2016,,85,94,76
IN020081700,"MADURAI, IN",2/21/2016,,85,,76
IN020081700,"MADURAI, IN",2/22/2016,,85,96,76
IN020081700,"MADURAI, IN",2/23/2016,,84,98,74
IN020081700,"MADURAI, IN",2/24/2016,,85,,73
IN020081700,"MADURAI, IN",2/25/2016,,86,97,75
IN020081700,"MADURAI, IN",2/26/2016,,86,97,
IN020081700,"MADURAI, IN",2/27/2016,,85,98,75
IN020081700,"MADURAI, IN",2/28/2016,,84,95,
IN020081700,"MADURAI, IN",2/29/2016,0.01,85,96,76
IN020081700,"MADURAI, IN",3/1/2016,0,86,,76
IN020081700,"MADURAI, IN",3/2/2016,,85,96,75
IN020081700,"MADURAI, IN",3/3/2016,,85,95,75
IN020081700,"MADURAI, IN",3/4/2016,,83,96,74
IN020081700,"MADURAI, IN",3/5/2016,,85,,74
IN020081700,"MADURAI, IN",3/6/2016,,86,,75
IN020081700,"MADURAI, IN",3/7/2016,,85,98,76
IN020081700,"MADURAI, IN",3/8/2016,,85,,75
IN020081700,"MADURAI, IN",3/9/2016,,85,97,
