STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN009130300,"MANGALORE BAJPE, IN",1/1/1990,0,81,91,74
IN009130300,"MANGALORE BAJPE, IN",1/2/1990,0,80,92,73
IN009130300,"MANGALORE BAJPE, IN",1/3/1990,0,81,94,73
IN009130300,"MANGALORE BAJPE, IN",1/4/1990,0,81,94,71
IN009130300,"MANGALORE BAJPE, IN",1/5/1990,0,78,93,70
IN009130300,"MANGALORE BAJPE, IN",1/6/1990,0,82,95,70
IN009130300,"MANGALORE BAJPE, IN",1/7/1990,0,80,86,74
IN009130300,"MANGALORE BAJPE, IN",1/8/1990,0,80,86,74
IN009130300,"MANGALORE BAJPE, IN",1/9/1990,0,81,94,
IN009130300,"MANGALORE BAJPE, IN",1/10/1990,0,81,92,71
IN009130300,"MANGALORE BAJPE, IN",1/11/1990,0,82,92,70
IN009130300,"MANGALORE BAJPE, IN",1/12/1990,0,80,95,69
IN009130300,"MANGALORE BAJPE, IN",1/13/1990,0,81,95,66
IN009130300,"MANGALORE BAJPE, IN",1/14/1990,0,73,,64
IN009130300,"MANGALORE BAJPE, IN",1/15/1990,0,81,94,62
IN009130300,"MANGALORE BAJPE, IN",1/16/1990,,82,93,65
IN009130300,"MANGALORE BAJPE, IN",1/17/1990,,81,90,
IN009130300,"MANGALORE BAJPE, IN",1/18/1990,0,78,91,68
IN009130300,"MANGALORE BAJPE, IN",1/19/1990,0,78,93,69
IN009130300,"MANGALORE BAJPE, IN",1/20/1990,0,83,95,
IN009130300,"MANGALORE BAJPE, IN",1/21/1990,0,78,,65
IN009130300,"MANGALORE BAJPE, IN",1/22/1990,0,81,,69
IN009130300,"MANGALORE BAJPE, IN",1/23/1990,0,81,92,70
IN009130300,"MANGALORE BAJPE, IN",1/24/1990,0,78,,70
IN009130300,"MANGALORE BAJPE, IN",1/25/1990,0,80,,69
IN009130300,"MANGALORE BAJPE, IN",1/26/1990,0,81,91,
IN009130300,"MANGALORE BAJPE, IN",1/27/1990,0,77,,69
IN009130300,"MANGALORE BAJPE, IN",1/28/1990,0,78,96,69
IN009130300,"MANGALORE BAJPE, IN",1/29/1990,0,78,92,67
IN009130300,"MANGALORE BAJPE, IN",1/30/1990,0,80,94,69
IN009130300,"MANGALORE BAJPE, IN",1/31/1990,0,77,,68
IN009130300,"MANGALORE BAJPE, IN",2/1/1990,0,81,97,67
IN009130300,"MANGALORE BAJPE, IN",2/2/1990,0,76,,67
IN009130300,"MANGALORE BAJPE, IN",2/3/1990,0,80,92,
IN009130300,"MANGALORE BAJPE, IN",2/4/1990,0,80,,67
IN009130300,"MANGALORE BAJPE, IN",2/5/1990,0,81,93,69
IN009130300,"MANGALORE BAJPE, IN",2/6/1990,0,85,95,
IN009130300,"MANGALORE BAJPE, IN",2/7/1990,0,79,,70
IN009130300,"MANGALORE BAJPE, IN",2/8/1990,0,81,94,70
IN009130300,"MANGALORE BAJPE, IN",2/9/1990,0,84,97,
IN009130300,"MANGALORE BAJPE, IN",2/10/1990,0,82,95,73
IN009130300,"MANGALORE BAJPE, IN",2/11/1990,0,83,97,74
IN009130300,"MANGALORE BAJPE, IN",2/12/1990,0,84,98,74
IN009130300,"MANGALORE BAJPE, IN",2/13/1990,0,77,,73
IN009130300,"MANGALORE BAJPE, IN",2/14/1990,0,86,94,
IN009130300,"MANGALORE BAJPE, IN",2/15/1990,0,80,93,74
IN009130300,"MANGALORE BAJPE, IN",2/16/1990,0,81,,
IN009130300,"MANGALORE BAJPE, IN",2/17/1990,0,78,91,69
IN009130300,"MANGALORE BAJPE, IN",2/18/1990,0,80,90,71
IN009130300,"MANGALORE BAJPE, IN",2/19/1990,0,79,90,71
IN009130300,"MANGALORE BAJPE, IN",2/20/1990,0,77,92,69
IN009130300,"MANGALORE BAJPE, IN",2/21/1990,0,76,,
IN009130300,"MANGALORE BAJPE, IN",2/22/1990,0,80,88,
IN009130300,"MANGALORE BAJPE, IN",2/23/1990,0,76,88,68
IN009130300,"MANGALORE BAJPE, IN",2/24/1990,0,79,90,68
IN009130300,"MANGALORE BAJPE, IN",2/25/1990,0,79,91,70
IN009130300,"MANGALORE BAJPE, IN",2/26/1990,0,80,91,70
IN009130300,"MANGALORE BAJPE, IN",2/27/1990,0,80,92,70
IN009130300,"MANGALORE BAJPE, IN",2/28/1990,0,81,92,
IN009130300,"MANGALORE BAJPE, IN",3/1/1990,0,81,93,
IN009130300,"MANGALORE BAJPE, IN",3/2/1990,0,80,89,73
IN009130300,"MANGALORE BAJPE, IN",3/3/1990,0,81,90,72
IN009130300,"MANGALORE BAJPE, IN",3/4/1990,0,80,91,69
IN009130300,"MANGALORE BAJPE, IN",3/5/1990,0,79,93,
IN009130300,"MANGALORE BAJPE, IN",3/6/1990,0,81,93,72
IN009130300,"MANGALORE BAJPE, IN",3/7/1990,0,83,94,72
IN009130300,"MANGALORE BAJPE, IN",3/8/1990,0,81,92,71
IN009130300,"MANGALORE BAJPE, IN",3/9/1990,0,81,93,71
IN009130300,"MANGALORE BAJPE, IN",3/10/1990,,82,90,70
IN009130300,"MANGALORE BAJPE, IN",3/11/1990,0,82,94,72
IN009130300,"MANGALORE BAJPE, IN",3/12/1990,0,80,91,71
IN009130300,"MANGALORE BAJPE, IN",3/13/1990,0,81,93,72
IN009130300,"MANGALORE BAJPE, IN",3/14/1990,0,82,,73
IN009130300,"MANGALORE BAJPE, IN",3/15/1990,0,81,90,72
IN009130300,"MANGALORE BAJPE, IN",3/16/1990,0,82,,74
IN009130300,"MANGALORE BAJPE, IN",3/17/1990,0,85,,76
IN009130300,"MANGALORE BAJPE, IN",3/18/1990,0,83,95,77
IN009130300,"MANGALORE BAJPE, IN",3/19/1990,0,86,95,75
IN009130300,"MANGALORE BAJPE, IN",3/20/1990,0,83,,
IN009130300,"MANGALORE BAJPE, IN",3/21/1990,0,83,,75
IN009130300,"MANGALORE BAJPE, IN",3/22/1990,0,84,93,76
IN009130300,"MANGALORE BAJPE, IN",3/23/1990,0,82,,76
IN009130300,"MANGALORE BAJPE, IN",3/24/1990,0,83,94,
IN009130300,"MANGALORE BAJPE, IN",3/25/1990,0,81,92,73
IN009130300,"MANGALORE BAJPE, IN",3/26/1990,0,78,93,72
IN009130300,"MANGALORE BAJPE, IN",3/27/1990,0,80,,71
IN009130300,"MANGALORE BAJPE, IN",3/28/1990,0,82,93,
IN009130300,"MANGALORE BAJPE, IN",3/29/1990,0,83,92,73
IN009130300,"MANGALORE BAJPE, IN",3/30/1990,0,83,93,76
IN009130300,"MANGALORE BAJPE, IN",3/31/1990,0,86,94,
IN009130300,"MANGALORE BAJPE, IN",4/1/1990,0,84,,
IN009130300,"MANGALORE BAJPE, IN",4/2/1990,0,84,94,
IN009130300,"MANGALORE BAJPE, IN",4/3/1990,0,82,94,
IN009130300,"MANGALORE BAJPE, IN",4/4/1990,0,84,93,76
IN009130300,"MANGALORE BAJPE, IN",4/5/1990,0,81,,75
IN009130300,"MANGALORE BAJPE, IN",4/6/1990,0,83,93,73
IN009130300,"MANGALORE BAJPE, IN",4/7/1990,0,85,95,
IN009130300,"MANGALORE BAJPE, IN",4/8/1990,0,85,94,76
IN009130300,"MANGALORE BAJPE, IN",4/9/1990,0,82,92,77
IN009130300,"MANGALORE BAJPE, IN",4/10/1990,0,83,94,76
IN009130300,"MANGALORE BAJPE, IN",4/11/1990,0,84,93,76
IN009130300,"MANGALORE BAJPE, IN",4/12/1990,0,81,92,75
IN009130300,"MANGALORE BAJPE, IN",4/13/1990,0,83,,76
IN009130300,"MANGALORE BAJPE, IN",4/14/1990,0,83,92,77
IN009130300,"MANGALORE BAJPE, IN",4/15/1990,0,84,93,77
IN009130300,"MANGALORE BAJPE, IN",4/16/1990,0,83,94,77
IN009130300,"MANGALORE BAJPE, IN",4/17/1990,0,84,93,77
IN009130300,"MANGALORE BAJPE, IN",4/18/1990,0,83,92,76
IN009130300,"MANGALORE BAJPE, IN",4/19/1990,0,85,94,79
IN009130300,"MANGALORE BAJPE, IN",4/20/1990,0,81,,
IN009130300,"MANGALORE BAJPE, IN",4/21/1990,0,86,93,78
IN009130300,"MANGALORE BAJPE, IN",4/22/1990,0,84,93,
IN009130300,"MANGALORE BAJPE, IN",4/23/1990,0,87,93,76
IN009130300,"MANGALORE BAJPE, IN",4/24/1990,0,85,,78
IN009130300,"MANGALORE BAJPE, IN",4/25/1990,0,85,,79
IN009130300,"MANGALORE BAJPE, IN",4/26/1990,0,86,95,77
IN009130300,"MANGALORE BAJPE, IN",4/27/1990,0,87,95,78
IN009130300,"MANGALORE BAJPE, IN",4/28/1990,0,87,95,80
IN009130300,"MANGALORE BAJPE, IN",4/29/1990,,86,98,79
IN009130300,"MANGALORE BAJPE, IN",4/30/1990,0,84,96,
IN009130300,"MANGALORE BAJPE, IN",5/1/1990,0,84,92,
IN009130300,"MANGALORE BAJPE, IN",5/2/1990,0,84,94,
IN009130300,"MANGALORE BAJPE, IN",5/4/1990,0,85,93,
IN009130300,"MANGALORE BAJPE, IN",5/5/1990,0,85,95,
IN009130300,"MANGALORE BAJPE, IN",5/6/1990,,84,96,75
IN009130300,"MANGALORE BAJPE, IN",5/7/1990,,82,97,76
IN009130300,"MANGALORE BAJPE, IN",5/8/1990,0,86,94,78
IN009130300,"MANGALORE BAJPE, IN",5/9/1990,0.03,85,96,79
IN009130300,"MANGALORE BAJPE, IN",5/10/1990,0,84,92,
IN009130300,"MANGALORE BAJPE, IN",5/11/1990,0.53,84,92,
IN009130300,"MANGALORE BAJPE, IN",5/12/1990,0,86,92,79
IN009130300,"MANGALORE BAJPE, IN",5/13/1990,0,84,94,78
IN009130300,"MANGALORE BAJPE, IN",5/14/1990,0,84,93,77
IN009130300,"MANGALORE BAJPE, IN",5/15/1990,0,84,93,
IN009130300,"MANGALORE BAJPE, IN",5/16/1990,0,83,94,72
