STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN012141800,"NAGPUR SONEGAON, IN",1/1/1990,0,69,,61
IN012141800,"NAGPUR SONEGAON, IN",1/3/1990,0,70,82,
IN012141800,"NAGPUR SONEGAON, IN",1/4/1990,0,71,,61
IN012141800,"NAGPUR SONEGAON, IN",1/5/1990,0,75,85,60
IN012141800,"NAGPUR SONEGAON, IN",1/6/1990,0,70,86,59
IN012141800,"NAGPUR SONEGAON, IN",1/7/1990,0,71,85,58
IN012141800,"NAGPUR SONEGAON, IN",1/8/1990,0,73,87,58
IN012141800,"NAGPUR SONEGAON, IN",1/9/1990,0,73,87,
IN012141800,"NAGPUR SONEGAON, IN",1/10/1990,0,74,85,58
IN012141800,"NAGPUR SONEGAON, IN",1/11/1990,0,71,87,53
IN012141800,"NAGPUR SONEGAON, IN",1/12/1990,0,67,90,51
IN012141800,"NAGPUR SONEGAON, IN",1/13/1990,0,71,91,53
IN012141800,"NAGPUR SONEGAON, IN",1/14/1990,0,70,90,51
IN012141800,"NAGPUR SONEGAON, IN",1/15/1990,0,70,,52
IN012141800,"NAGPUR SONEGAON, IN",1/16/1990,0,69,85,56
IN012141800,"NAGPUR SONEGAON, IN",1/17/1990,0,66,87,51
IN012141800,"NAGPUR SONEGAON, IN",1/18/1990,0,71,,55
IN012141800,"NAGPUR SONEGAON, IN",1/19/1990,0,70,90,56
IN012141800,"NAGPUR SONEGAON, IN",1/20/1990,0,69,90,59
IN012141800,"NAGPUR SONEGAON, IN",1/21/1990,0,73,89,61
IN012141800,"NAGPUR SONEGAON, IN",1/22/1990,0,70,90,54
IN012141800,"NAGPUR SONEGAON, IN",1/23/1990,0,72,,57
IN012141800,"NAGPUR SONEGAON, IN",1/24/1990,0,71,91,55
IN012141800,"NAGPUR SONEGAON, IN",1/25/1990,0,71,88,53
IN012141800,"NAGPUR SONEGAON, IN",1/26/1990,0,71,89,55
IN012141800,"NAGPUR SONEGAON, IN",1/27/1990,0,71,92,49
IN012141800,"NAGPUR SONEGAON, IN",1/28/1990,0,72,94,52
IN012141800,"NAGPUR SONEGAON, IN",1/29/1990,0,71,94,57
IN012141800,"NAGPUR SONEGAON, IN",1/30/1990,0,73,91,57
IN012141800,"NAGPUR SONEGAON, IN",1/31/1990,0,76,93,60
IN012141800,"NAGPUR SONEGAON, IN",2/1/1990,0,72,93,59
IN012141800,"NAGPUR SONEGAON, IN",2/2/1990,0,72,89,55
IN012141800,"NAGPUR SONEGAON, IN",2/3/1990,0,74,91,55
IN012141800,"NAGPUR SONEGAON, IN",2/4/1990,0,75,94,59
IN012141800,"NAGPUR SONEGAON, IN",2/5/1990,0,71,90,
IN012141800,"NAGPUR SONEGAON, IN",2/6/1990,0,74,91,54
IN012141800,"NAGPUR SONEGAON, IN",2/7/1990,0,75,91,59
IN012141800,"NAGPUR SONEGAON, IN",2/8/1990,0,77,93,61
IN012141800,"NAGPUR SONEGAON, IN",2/9/1990,0,79,93,60
IN012141800,"NAGPUR SONEGAON, IN",2/10/1990,0,71,84,
IN012141800,"NAGPUR SONEGAON, IN",2/11/1990,0,70,89,57
IN012141800,"NAGPUR SONEGAON, IN",2/12/1990,0,77,94,60
IN012141800,"NAGPUR SONEGAON, IN",2/13/1990,,81,94,62
IN012141800,"NAGPUR SONEGAON, IN",2/14/1990,0,73,82,
IN012141800,"NAGPUR SONEGAON, IN",2/15/1990,0.12,73,82,65
IN012141800,"NAGPUR SONEGAON, IN",2/16/1990,0,72,85,62
IN012141800,"NAGPUR SONEGAON, IN",2/17/1990,0,71,90,60
IN012141800,"NAGPUR SONEGAON, IN",2/18/1990,0,74,88,
IN012141800,"NAGPUR SONEGAON, IN",2/19/1990,0,69,87,51
IN012141800,"NAGPUR SONEGAON, IN",2/20/1990,0,70,87,51
IN012141800,"NAGPUR SONEGAON, IN",2/21/1990,0,71,85,57
IN012141800,"NAGPUR SONEGAON, IN",2/22/1990,0,71,86,56
IN012141800,"NAGPUR SONEGAON, IN",2/23/1990,0,76,87,
IN012141800,"NAGPUR SONEGAON, IN",2/24/1990,0,76,93,58
IN012141800,"NAGPUR SONEGAON, IN",2/25/1990,0,76,94,56
IN012141800,"NAGPUR SONEGAON, IN",2/26/1990,0,76,91,61
IN012141800,"NAGPUR SONEGAON, IN",2/27/1990,0,81,96,60
IN012141800,"NAGPUR SONEGAON, IN",2/28/1990,,81,,
IN012141800,"NAGPUR SONEGAON, IN",3/1/1990,0,78,90,71
