STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN022030600,"GOA PANJIM, IN",1/1/1990,0,79,,72
IN022030600,"GOA PANJIM, IN",1/2/1990,0,79,91,71
IN022030600,"GOA PANJIM, IN",1/3/1990,0,77,90,71
IN022030600,"GOA PANJIM, IN",1/4/1990,0,81,90,
IN022030600,"GOA PANJIM, IN",1/5/1990,0,78,94,71
IN022030600,"GOA PANJIM, IN",1/6/1990,0,80,94,71
IN022030600,"GOA PANJIM, IN",1/7/1990,0,80,94,70
IN022030600,"GOA PANJIM, IN",1/8/1990,0,82,92,76
IN022030600,"GOA PANJIM, IN",1/9/1990,0,78,94,
IN022030600,"GOA PANJIM, IN",1/10/1990,0,81,91,71
IN022030600,"GOA PANJIM, IN",1/11/1990,0,76,,
IN022030600,"GOA PANJIM, IN",1/12/1990,0,79,91,68
IN022030600,"GOA PANJIM, IN",1/13/1990,0,71,,66
IN022030600,"GOA PANJIM, IN",1/14/1990,0,77,93,
IN022030600,"GOA PANJIM, IN",1/15/1990,0,78,92,
IN022030600,"GOA PANJIM, IN",1/16/1990,,80,92,65
IN022030600,"GOA PANJIM, IN",1/17/1990,0,77,91,65
IN022030600,"GOA PANJIM, IN",1/18/1990,0,78,88,
IN022030600,"GOA PANJIM, IN",1/19/1990,0,77,,66
IN022030600,"GOA PANJIM, IN",1/20/1990,0,77,,65
IN022030600,"GOA PANJIM, IN",1/21/1990,0,79,97,65
IN022030600,"GOA PANJIM, IN",1/22/1990,0,79,96,65
IN022030600,"GOA PANJIM, IN",1/23/1990,0,78,94,
IN022030600,"GOA PANJIM, IN",1/24/1990,0,78,92,67
IN022030600,"GOA PANJIM, IN",1/25/1990,0,78,95,67
IN022030600,"GOA PANJIM, IN",1/26/1990,0,78,90,67
IN022030600,"GOA PANJIM, IN",1/27/1990,0,78,94,67
IN022030600,"GOA PANJIM, IN",1/28/1990,0,78,94,64
IN022030600,"GOA PANJIM, IN",1/29/1990,0,79,93,67
IN022030600,"GOA PANJIM, IN",1/30/1990,0,77,94,66
IN022030600,"GOA PANJIM, IN",1/31/1990,0,76,93,68
IN022030600,"GOA PANJIM, IN",2/1/1990,0,78,92,67
IN022030600,"GOA PANJIM, IN",2/2/1990,0,80,90,68
IN022030600,"GOA PANJIM, IN",2/3/1990,0,80,,68
IN022030600,"GOA PANJIM, IN",2/4/1990,0,79,93,69
IN022030600,"GOA PANJIM, IN",2/5/1990,0,80,89,
IN022030600,"GOA PANJIM, IN",2/6/1990,0,78,89,71
IN022030600,"GOA PANJIM, IN",2/7/1990,0,82,,69
IN022030600,"GOA PANJIM, IN",2/8/1990,0,81,92,69
IN022030600,"GOA PANJIM, IN",2/9/1990,0,81,95,70
IN022030600,"GOA PANJIM, IN",2/10/1990,0,84,95,73
IN022030600,"GOA PANJIM, IN",2/11/1990,0,81,97,73
IN022030600,"GOA PANJIM, IN",2/12/1990,0,83,97,73
IN022030600,"GOA PANJIM, IN",2/13/1990,0,82,,
IN022030600,"GOA PANJIM, IN",2/14/1990,0,81,90,74
IN022030600,"GOA PANJIM, IN",2/15/1990,0,79,90,71
IN022030600,"GOA PANJIM, IN",2/16/1990,0,78,88,70
IN022030600,"GOA PANJIM, IN",2/17/1990,0,79,90,69
IN022030600,"GOA PANJIM, IN",2/18/1990,0,80,92,70
IN022030600,"GOA PANJIM, IN",2/19/1990,,79,87,
IN022030600,"GOA PANJIM, IN",2/20/1990,0,75,86,66
IN022030600,"GOA PANJIM, IN",2/21/1990,0,75,86,65
IN022030600,"GOA PANJIM, IN",2/22/1990,0,76,87,65
IN022030600,"GOA PANJIM, IN",2/23/1990,0,77,88,65
IN022030600,"GOA PANJIM, IN",2/24/1990,,78,89,66
IN022030600,"GOA PANJIM, IN",2/25/1990,0,79,89,69
IN022030600,"GOA PANJIM, IN",2/26/1990,0,77,88,
IN022030600,"GOA PANJIM, IN",2/27/1990,0,78,88,67
IN022030600,"GOA PANJIM, IN",2/28/1990,0,78,,69
IN022030600,"GOA PANJIM, IN",3/1/1990,0,80,90,73
IN022030600,"GOA PANJIM, IN",3/2/1990,0,76,86,71
IN022030600,"GOA PANJIM, IN",3/3/1990,,77,85,67
IN022030600,"GOA PANJIM, IN",3/4/1990,0,78,90,67
IN022030600,"GOA PANJIM, IN",3/5/1990,0,79,89,72
IN022030600,"GOA PANJIM, IN",3/6/1990,0,80,89,72
IN022030600,"GOA PANJIM, IN",3/7/1990,0,80,90,70
IN022030600,"GOA PANJIM, IN",3/8/1990,0,79,91,71
IN022030600,"GOA PANJIM, IN",3/9/1990,0,74,,70
IN022030600,"GOA PANJIM, IN",3/10/1990,0,77,,69
IN022030600,"GOA PANJIM, IN",3/11/1990,0,80,89,70
IN022030600,"GOA PANJIM, IN",3/12/1990,0,79,88,70
IN022030600,"GOA PANJIM, IN",3/13/1990,0,78,89,70
IN022030600,"GOA PANJIM, IN",3/14/1990,0,79,88,71
IN022030600,"GOA PANJIM, IN",3/15/1990,0,80,89,72
IN022030600,"GOA PANJIM, IN",3/16/1990,0,80,89,72
IN022030600,"GOA PANJIM, IN",3/17/1990,0,81,92,74
IN022030600,"GOA PANJIM, IN",3/18/1990,0,83,93,
IN022030600,"GOA PANJIM, IN",3/19/1990,0,84,,77
IN022030600,"GOA PANJIM, IN",3/20/1990,0,83,90,76
IN022030600,"GOA PANJIM, IN",3/21/1990,0,83,89,77
IN022030600,"GOA PANJIM, IN",3/22/1990,0,83,,
IN022030600,"GOA PANJIM, IN",3/23/1990,0,83,92,76
IN022030600,"GOA PANJIM, IN",3/24/1990,0,81,91,
IN022030600,"GOA PANJIM, IN",3/25/1990,0,76,88,70
IN022030600,"GOA PANJIM, IN",3/26/1990,0,76,,69
IN022030600,"GOA PANJIM, IN",3/27/1990,0,80,87,70
IN022030600,"GOA PANJIM, IN",3/28/1990,0,82,90,75
IN022030600,"GOA PANJIM, IN",3/29/1990,0,82,,73
IN022030600,"GOA PANJIM, IN",3/30/1990,0,83,92,74
IN022030600,"GOA PANJIM, IN",3/31/1990,0,84,94,75
IN022030600,"GOA PANJIM, IN",4/1/1990,0,79,91,73
IN022030600,"GOA PANJIM, IN",4/2/1990,0,81,90,72
IN022030600,"GOA PANJIM, IN",4/3/1990,0,81,91,72
IN022030600,"GOA PANJIM, IN",4/4/1990,0,80,,
IN022030600,"GOA PANJIM, IN",4/5/1990,0,80,88,71
IN022030600,"GOA PANJIM, IN",4/6/1990,,81,88,71
IN022030600,"GOA PANJIM, IN",4/7/1990,0,81,90,72
IN022030600,"GOA PANJIM, IN",4/8/1990,0,82,92,74
IN022030600,"GOA PANJIM, IN",4/9/1990,0,80,91,75
IN022030600,"GOA PANJIM, IN",4/10/1990,0,81,91,73
IN022030600,"GOA PANJIM, IN",4/11/1990,0,81,89,74
IN022030600,"GOA PANJIM, IN",4/12/1990,0,82,,
IN022030600,"GOA PANJIM, IN",4/13/1990,0,82,90,76
IN022030600,"GOA PANJIM, IN",4/14/1990,0,82,90,75
IN022030600,"GOA PANJIM, IN",4/15/1990,0,82,90,76
