STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN004102500,"PATNA, IN",1/1/1990,0,53,,40
IN004102500,"PATNA, IN",1/2/1990,0,47,59,43
IN004102500,"PATNA, IN",1/3/1990,0,44,54,
IN004102500,"PATNA, IN",1/4/1990,,52,,39
IN004102500,"PATNA, IN",1/5/1990,0,54,70,41
IN004102500,"PATNA, IN",1/6/1990,,63,73,43
IN004102500,"PATNA, IN",1/8/1990,0,60,74,45
IN004102500,"PATNA, IN",1/9/1990,,56,70,
IN004102500,"PATNA, IN",1/10/1990,0,53,67,44
IN004102500,"PATNA, IN",1/11/1990,,54,,
IN004102500,"PATNA, IN",1/12/1990,0,50,59,
IN004102500,"PATNA, IN",1/13/1990,,54,63,43
IN004102500,"PATNA, IN",1/14/1990,0,60,74,45
IN004102500,"PATNA, IN",1/15/1990,0,61,73,49
IN004102500,"PATNA, IN",1/16/1990,0,60,75,47
IN004102500,"PATNA, IN",1/17/1990,,61,76,51
IN004102500,"PATNA, IN",1/18/1990,0,62,76,51
IN004102500,"PATNA, IN",1/19/1990,0,61,76,55
IN004102500,"PATNA, IN",1/20/1990,0,65,77,52
IN004102500,"PATNA, IN",1/21/1990,,65,79,54
IN004102500,"PATNA, IN",1/22/1990,0,65,77,56
IN004102500,"PATNA, IN",1/23/1990,0,66,81,
IN004102500,"PATNA, IN",1/24/1990,0,68,79,
IN004102500,"PATNA, IN",1/25/1990,0,65,76,54
IN004102500,"PATNA, IN",1/26/1990,0,65,78,54
IN004102500,"PATNA, IN",1/27/1990,0,65,81,55
IN004102500,"PATNA, IN",1/28/1990,0,66,82,54
IN004102500,"PATNA, IN",1/29/1990,0,69,,56
IN004102500,"PATNA, IN",1/30/1990,0,65,78,
IN004102500,"PATNA, IN",1/31/1990,0,65,78,53
IN004102500,"PATNA, IN",2/1/1990,0,64,80,51
IN004102500,"PATNA, IN",2/2/1990,0,66,79,52
IN004102500,"PATNA, IN",2/3/1990,0,60,75,48
IN004102500,"PATNA, IN",2/4/1990,0,59,74,
IN004102500,"PATNA, IN",2/5/1990,0,62,77,50
IN004102500,"PATNA, IN",2/6/1990,0,64,,50
IN004102500,"PATNA, IN",2/7/1990,0,66,78,53
IN004102500,"PATNA, IN",2/8/1990,,71,,55
IN004102500,"PATNA, IN",2/9/1990,0,69,,60
IN004102500,"PATNA, IN",2/10/1990,0,69,74,61
IN004102500,"PATNA, IN",2/11/1990,0,74,80,
IN004102500,"PATNA, IN",2/12/1990,0,71,82,57
IN004102500,"PATNA, IN",2/13/1990,,69,79,
IN004102500,"PATNA, IN",2/14/1990,0.49,68,,62
IN004102500,"PATNA, IN",2/15/1990,0,66,78,57
IN004102500,"PATNA, IN",2/16/1990,0,63,74,
IN004102500,"PATNA, IN",2/17/1990,0,63,76,
IN004102500,"PATNA, IN",2/18/1990,0.08,61,64,
IN004102500,"PATNA, IN",2/19/1990,0,69,78,
IN004102500,"PATNA, IN",2/20/1990,,68,79,
IN004102500,"PATNA, IN",2/21/1990,0,65,77,54
IN004102500,"PATNA, IN",2/22/1990,0,66,77,56
IN004102500,"PATNA, IN",2/23/1990,0,68,78,53
