STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN099999901,"PORT BLAIR, IN",1/5/1990,0,81,,77
IN099999901,"PORT BLAIR, IN",1/7/1990,0,80,85,73
IN099999901,"PORT BLAIR, IN",1/17/1990,0,78,84,
IN099999901,"PORT BLAIR, IN",1/20/1990,0,77,82,
IN099999901,"PORT BLAIR, IN",1/21/1990,0,78,84,
IN099999901,"PORT BLAIR, IN",1/22/1990,0,80,,71
IN099999901,"PORT BLAIR, IN",1/23/1990,0,78,86,
IN099999901,"PORT BLAIR, IN",1/26/1990,,78,85,72
IN099999901,"PORT BLAIR, IN",1/27/1990,0,80,85,74
IN099999901,"PORT BLAIR, IN",1/29/1990,,81,,75
IN099999901,"PORT BLAIR, IN",2/3/1990,0,79,87,75
IN099999901,"PORT BLAIR, IN",3/9/1990,0,82,,74
IN099999901,"PORT BLAIR, IN",3/10/1990,0,81,89,78
IN099999901,"PORT BLAIR, IN",3/14/1990,,81,,
IN099999901,"PORT BLAIR, IN",3/18/1990,,77,87,
IN099999901,"PORT BLAIR, IN",3/20/1990,0,83,89,
IN099999901,"PORT BLAIR, IN",3/22/1990,0,77,89,
IN099999901,"PORT BLAIR, IN",3/25/1990,0,81,88,
IN099999901,"PORT BLAIR, IN",4/17/1990,0.17,82,89,76
IN099999901,"PORT BLAIR, IN",4/19/1990,,81,85,
IN099999901,"PORT BLAIR, IN",4/23/1990,0,82,89,
IN099999901,"PORT BLAIR, IN",4/28/1990,,84,,
IN099999901,"PORT BLAIR, IN",5/1/1990,,78,80,
IN099999901,"PORT BLAIR, IN",5/4/1990,,81,86,
IN099999901,"PORT BLAIR, IN",5/5/1990,0,83,89,
IN099999901,"PORT BLAIR, IN",5/9/1990,,86,,
IN099999901,"PORT BLAIR, IN",5/10/1990,,83,,
IN099999901,"PORT BLAIR, IN",5/12/1990,,82,,
IN099999901,"PORT BLAIR, IN",5/19/1990,,78,90,
IN099999901,"PORT BLAIR, IN",5/20/1990,,79,87,
IN099999901,"PORT BLAIR, IN",7/4/1990,,79,85,
IN099999901,"PORT BLAIR, IN",9/2/1990,0,81,86,
IN099999901,"PORT BLAIR, IN",9/9/1990,,77,,
IN099999901,"PORT BLAIR, IN",9/23/1990,,79,85,
IN099999901,"PORT BLAIR, IN",9/29/1990,,77,82,
IN099999901,"PORT BLAIR, IN",9/30/1990,,78,82,
IN099999901,"PORT BLAIR, IN",10/8/1990,,80,85,
IN099999901,"PORT BLAIR, IN",10/18/1990,,78,86,
IN099999901,"PORT BLAIR, IN",10/24/1990,0,82,,
IN099999901,"PORT BLAIR, IN",10/26/1990,,81,86,
IN099999901,"PORT BLAIR, IN",11/8/1990,,78,,
IN099999901,"PORT BLAIR, IN",11/29/1990,0,78,85,
IN099999901,"PORT BLAIR, IN",12/2/1990,,82,,
IN099999901,"PORT BLAIR, IN",12/8/1990,0,80,,76
IN099999901,"PORT BLAIR, IN",12/18/1990,0,80,86,
IN099999901,"PORT BLAIR, IN",12/20/1990,0,81,86,77
