STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN012190100,"POONA, IN",1/1/1990,0,66,,58
IN012190100,"POONA, IN",1/2/1990,0,67,,55
IN012190100,"POONA, IN",1/3/1990,0,72,89,55
IN012190100,"POONA, IN",1/4/1990,0,73,87,60
IN012190100,"POONA, IN",1/5/1990,0,72,85,59
IN012190100,"POONA, IN",1/6/1990,0,69,85,57
IN012190100,"POONA, IN",1/7/1990,0,65,84,53
IN012190100,"POONA, IN",1/8/1990,0,66,,50
IN012190100,"POONA, IN",1/9/1990,0,67,84,53
IN012190100,"POONA, IN",1/10/1990,0,65,88,54
IN012190100,"POONA, IN",1/11/1990,0,68,87,
IN012190100,"POONA, IN",1/12/1990,0,63,86,48
IN012190100,"POONA, IN",1/13/1990,0,64,88,48
IN012190100,"POONA, IN",1/14/1990,0,66,91,
IN012190100,"POONA, IN",1/15/1990,0,67,90,49
IN012190100,"POONA, IN",1/16/1990,0,68,89,47
IN012190100,"POONA, IN",1/17/1990,0,68,89,47
IN012190100,"POONA, IN",1/18/1990,0,65,87,49
IN012190100,"POONA, IN",1/19/1990,0,69,89,
IN012190100,"POONA, IN",1/20/1990,0,68,90,47
IN012190100,"POONA, IN",1/21/1990,0,67,89,46
IN012190100,"POONA, IN",1/22/1990,0,62,88,49
IN012190100,"POONA, IN",1/23/1990,0,66,87,51
IN012190100,"POONA, IN",1/24/1990,0,67,88,49
IN012190100,"POONA, IN",1/25/1990,0,70,88,
IN012190100,"POONA, IN",1/26/1990,0,69,91,48
IN012190100,"POONA, IN",1/27/1990,0,72,92,49
IN012190100,"POONA, IN",1/28/1990,0,69,93,50
IN012190100,"POONA, IN",1/29/1990,0,67,92,50
IN012190100,"POONA, IN",1/30/1990,0,71,93,51
IN012190100,"POONA, IN",1/31/1990,0,70,93,53
IN012190100,"POONA, IN",2/1/1990,0,70,93,53
IN012190100,"POONA, IN",2/2/1990,0,70,93,51
IN012190100,"POONA, IN",2/3/1990,0,71,92,50
IN012190100,"POONA, IN",2/4/1990,0,69,94,52
IN012190100,"POONA, IN",2/5/1990,0,70,92,51
IN012190100,"POONA, IN",2/6/1990,0,72,91,51
IN012190100,"POONA, IN",2/7/1990,0,72,90,54
IN012190100,"POONA, IN",2/8/1990,0,72,89,57
IN012190100,"POONA, IN",2/9/1990,0,72,88,56
IN012190100,"POONA, IN",2/10/1990,0,72,91,57
IN012190100,"POONA, IN",2/11/1990,0,72,90,60
IN012190100,"POONA, IN",2/12/1990,0,76,93,59
IN012190100,"POONA, IN",2/13/1990,0,77,91,
IN012190100,"POONA, IN",2/14/1990,0,75,90,57
IN012190100,"POONA, IN",2/15/1990,0,73,87,56
IN012190100,"POONA, IN",2/16/1990,0,70,86,51
IN012190100,"POONA, IN",2/17/1990,0,72,88,50
IN012190100,"POONA, IN",2/18/1990,0,68,82,
IN012190100,"POONA, IN",2/19/1990,0,66,84,44
IN012190100,"POONA, IN",2/20/1990,0,66,85,45
IN012190100,"POONA, IN",2/21/1990,0,67,85,47
IN012190100,"POONA, IN",2/22/1990,0,68,87,49
IN012190100,"POONA, IN",2/23/1990,0,69,87,49
IN012190100,"POONA, IN",2/24/1990,0,71,87,50
IN012190100,"POONA, IN",2/25/1990,0,72,88,50
IN012190100,"POONA, IN",2/26/1990,0,70,89,54
IN012190100,"POONA, IN",2/27/1990,0,74,92,54
IN012190100,"POONA, IN",2/28/1990,0,75,88,64
IN012190100,"POONA, IN",3/1/1990,,76,86,63
IN012190100,"POONA, IN",3/2/1990,0,68,88,53
IN012190100,"POONA, IN",3/3/1990,0,69,84,47
IN012190100,"POONA, IN",3/4/1990,0,68,83,49
IN012190100,"POONA, IN",3/5/1990,0,71,85,55
IN012190100,"POONA, IN",3/6/1990,0,72,88,58
IN012190100,"POONA, IN",3/7/1990,0,72,88,54
IN012190100,"POONA, IN",3/8/1990,0,72,89,51
IN012190100,"POONA, IN",3/9/1990,0,72,91,56
IN012190100,"POONA, IN",3/10/1990,0,77,94,
IN012190100,"POONA, IN",3/11/1990,0,75,90,62
IN012190100,"POONA, IN",3/12/1990,0,74,93,56
IN012190100,"POONA, IN",3/13/1990,0,75,96,56
IN012190100,"POONA, IN",3/14/1990,0,80,95,63
IN012190100,"POONA, IN",3/15/1990,0,81,96,62
IN012190100,"POONA, IN",3/16/1990,0,81,96,60
IN012190100,"POONA, IN",3/17/1990,0,82,96,60
IN012190100,"POONA, IN",3/18/1990,0,81,,64
IN012190100,"POONA, IN",3/19/1990,0,82,98,67
IN012190100,"POONA, IN",3/20/1990,0,78,97,65
IN012190100,"POONA, IN",3/21/1990,0,82,99,62
IN012190100,"POONA, IN",3/22/1990,0,81,97,65
IN012190100,"POONA, IN",3/23/1990,0,79,92,63
IN012190100,"POONA, IN",3/24/1990,0,72,88,
IN012190100,"POONA, IN",3/25/1990,0,73,89,48
IN012190100,"POONA, IN",3/26/1990,0,75,93,56
IN012190100,"POONA, IN",3/27/1990,0,77,93,62
IN012190100,"POONA, IN",3/28/1990,0,77,93,63
IN012190100,"POONA, IN",3/29/1990,0,80,97,59
IN012190100,"POONA, IN",3/30/1990,0,79,98,63
IN012190100,"POONA, IN",3/31/1990,0,80,96,60
IN012190100,"POONA, IN",4/1/1990,0,79,98,
IN012190100,"POONA, IN",4/2/1990,0,82,97,57
IN012190100,"POONA, IN",4/3/1990,0,76,,60
IN012190100,"POONA, IN",4/4/1990,0,79,99,56
IN012190100,"POONA, IN",4/5/1990,0,77,98,58
IN012190100,"POONA, IN",4/6/1990,0,79,97,60
IN012190100,"POONA, IN",4/7/1990,0,81,99,60
IN012190100,"POONA, IN",4/8/1990,0,83,99,68
IN012190100,"POONA, IN",4/9/1990,0,80,99,60
