STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN014020300,"SHILLONG, IN",12/8/2015,0.16,55,62,47
IN014020300,"SHILLONG, IN",12/9/2015,0.08,53,62,46
IN014020300,"SHILLONG, IN",12/10/2015,0,53,61,47
IN014020300,"SHILLONG, IN",12/11/2015,,52,60,44
IN014020300,"SHILLONG, IN",12/12/2015,,55,65,45
IN014020300,"SHILLONG, IN",12/13/2015,,56,67,49
IN014020300,"SHILLONG, IN",12/14/2015,,52,62,42
IN014020300,"SHILLONG, IN",12/15/2015,,49,57,43
IN014020300,"SHILLONG, IN",12/16/2015,,49,58,37
IN014020300,"SHILLONG, IN",12/17/2015,,50,58,41
IN014020300,"SHILLONG, IN",12/18/2015,,48,57,38
IN014020300,"SHILLONG, IN",12/19/2015,,47,54,37
IN014020300,"SHILLONG, IN",12/20/2015,,47,56,41
IN014020300,"SHILLONG, IN",12/21/2015,,47,55,38
IN014020300,"SHILLONG, IN",12/22/2015,,49,57,38
IN014020300,"SHILLONG, IN",12/23/2015,,49,57,39
IN014020300,"SHILLONG, IN",12/24/2015,,50,58,41
IN014020300,"SHILLONG, IN",12/25/2015,,48,57,38
IN014020300,"SHILLONG, IN",12/26/2015,,49,59,37
IN014020300,"SHILLONG, IN",12/27/2015,,52,61,42
IN014020300,"SHILLONG, IN",12/28/2015,,53,62,42
IN014020300,"SHILLONG, IN",12/29/2015,,53,61,43
IN014020300,"SHILLONG, IN",12/30/2015,,53,62,44
IN014020300,"SHILLONG, IN",12/31/2015,,55,64,45
IN014020300,"SHILLONG, IN",1/1/2016,,54,61,44
IN014020300,"SHILLONG, IN",1/2/2016,,55,63,46
IN014020300,"SHILLONG, IN",1/3/2016,,55,63,43
IN014020300,"SHILLONG, IN",1/4/2016,,53,61,42
IN014020300,"SHILLONG, IN",1/5/2016,,51,58,44
IN014020300,"SHILLONG, IN",1/6/2016,,51,59,43
IN014020300,"SHILLONG, IN",1/7/2016,,53,59,44
IN014020300,"SHILLONG, IN",1/8/2016,,50,60,42
IN014020300,"SHILLONG, IN",1/9/2016,,51,60,44
IN014020300,"SHILLONG, IN",1/10/2016,0,50,62,39
IN014020300,"SHILLONG, IN",1/11/2016,,50,,41
IN014020300,"SHILLONG, IN",1/12/2016,,51,62,41
IN014020300,"SHILLONG, IN",1/13/2016,,49,,39
IN014020300,"SHILLONG, IN",1/14/2016,,47,,40
IN014020300,"SHILLONG, IN",1/15/2016,,48,,41
IN014020300,"SHILLONG, IN",1/16/2016,,48,,40
IN014020300,"SHILLONG, IN",1/17/2016,,50,,42
IN014020300,"SHILLONG, IN",1/18/2016,,52,,43
IN014020300,"SHILLONG, IN",1/19/2016,,51,,41
IN014020300,"SHILLONG, IN",1/20/2016,0.28,47,,43
IN014020300,"SHILLONG, IN",1/21/2016,0.2,50,,41
IN014020300,"SHILLONG, IN",1/22/2016,0,48,,38
IN014020300,"SHILLONG, IN",1/23/2016,,49,,40
IN014020300,"SHILLONG, IN",1/24/2016,,48,,40
IN014020300,"SHILLONG, IN",1/25/2016,,50,,41
IN014020300,"SHILLONG, IN",1/26/2016,,47,,36
IN014020300,"SHILLONG, IN",1/27/2016,,45,,38
IN014020300,"SHILLONG, IN",1/28/2016,,47,,37
IN014020300,"SHILLONG, IN",1/29/2016,,49,,39
IN014020300,"SHILLONG, IN",1/30/2016,,49,,42
IN014020300,"SHILLONG, IN",1/31/2016,,49,,40
IN014020300,"SHILLONG, IN",2/1/2016,,52,,44
IN014020300,"SHILLONG, IN",2/2/2016,,53,,43
IN014020300,"SHILLONG, IN",2/3/2016,,52,,42
IN014020300,"SHILLONG, IN",2/4/2016,,51,,42
IN014020300,"SHILLONG, IN",2/5/2016,,52,,43
IN014020300,"SHILLONG, IN",2/6/2016,,56,,44
IN014020300,"SHILLONG, IN",2/7/2016,,59,,48
IN014020300,"SHILLONG, IN",2/8/2016,,60,,45
IN014020300,"SHILLONG, IN",2/9/2016,,56,,46
IN014020300,"SHILLONG, IN",2/10/2016,,53,,45
IN014020300,"SHILLONG, IN",2/11/2016,,55,,43
IN014020300,"SHILLONG, IN",2/12/2016,,57,,
IN014020300,"SHILLONG, IN",2/13/2016,,56,,41
IN014020300,"SHILLONG, IN",2/14/2016,,57,,47
IN014020300,"SHILLONG, IN",2/15/2016,,60,,48
IN014020300,"SHILLONG, IN",2/16/2016,,58,,45
IN014020300,"SHILLONG, IN",2/17/2016,,61,,50
IN014020300,"SHILLONG, IN",2/18/2016,,58,,47
IN014020300,"SHILLONG, IN",2/19/2016,,60,,49
IN014020300,"SHILLONG, IN",2/20/2016,,62,,52
IN014020300,"SHILLONG, IN",2/21/2016,,65,,57
IN014020300,"SHILLONG, IN",2/22/2016,,62,,
IN014020300,"SHILLONG, IN",2/23/2016,,60,,46
IN014020300,"SHILLONG, IN",2/24/2016,,59,,45
IN014020300,"SHILLONG, IN",2/25/2016,,58,,48
