STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN010100400,"THIRUVANANTHAPURAM, IN",1/1/1990,0,81,89,73
IN010100400,"THIRUVANANTHAPURAM, IN",1/2/1990,0,82,90,74
IN010100400,"THIRUVANANTHAPURAM, IN",1/3/1990,0,80,93,73
IN010100400,"THIRUVANANTHAPURAM, IN",1/4/1990,0,82,92,74
IN010100400,"THIRUVANANTHAPURAM, IN",1/5/1990,,79,88,72
IN010100400,"THIRUVANANTHAPURAM, IN",1/6/1990,0.15,78,83,72
IN010100400,"THIRUVANANTHAPURAM, IN",1/7/1990,0.04,77,86,73
IN010100400,"THIRUVANANTHAPURAM, IN",1/8/1990,0.05,80,92,72
IN010100400,"THIRUVANANTHAPURAM, IN",1/9/1990,0,81,90,73
IN010100400,"THIRUVANANTHAPURAM, IN",1/10/1990,0,81,,73
IN010100400,"THIRUVANANTHAPURAM, IN",1/11/1990,0,82,89,73
IN010100400,"THIRUVANANTHAPURAM, IN",1/12/1990,0,81,90,72
IN010100400,"THIRUVANANTHAPURAM, IN",1/13/1990,0,79,91,71
IN010100400,"THIRUVANANTHAPURAM, IN",1/14/1990,0,79,90,69
IN010100400,"THIRUVANANTHAPURAM, IN",1/15/1990,0,79,90,67
IN010100400,"THIRUVANANTHAPURAM, IN",1/16/1990,0,80,,67
IN010100400,"THIRUVANANTHAPURAM, IN",1/17/1990,0,80,90,
IN010100400,"THIRUVANANTHAPURAM, IN",1/18/1990,0,79,,70
IN010100400,"THIRUVANANTHAPURAM, IN",1/19/1990,0,79,89,68
IN010100400,"THIRUVANANTHAPURAM, IN",1/20/1990,0,78,99,67
IN010100400,"THIRUVANANTHAPURAM, IN",1/21/1990,0,79,,69
IN010100400,"THIRUVANANTHAPURAM, IN",1/22/1990,0,78,89,
IN010100400,"THIRUVANANTHAPURAM, IN",1/23/1990,0,80,89,
IN010100400,"THIRUVANANTHAPURAM, IN",1/24/1990,0,79,90,68
IN010100400,"THIRUVANANTHAPURAM, IN",1/25/1990,0,81,89,70
IN010100400,"THIRUVANANTHAPURAM, IN",1/26/1990,0,80,89,
IN010100400,"THIRUVANANTHAPURAM, IN",1/27/1990,0,78,90,
IN010100400,"THIRUVANANTHAPURAM, IN",1/28/1990,0,79,90,70
IN010100400,"THIRUVANANTHAPURAM, IN",1/29/1990,0,81,91,70
IN010100400,"THIRUVANANTHAPURAM, IN",1/30/1990,0,83,92,71
IN010100400,"THIRUVANANTHAPURAM, IN",1/31/1990,0.63,80,89,76
IN010100400,"THIRUVANANTHAPURAM, IN",2/1/1990,0,80,,74
IN010100400,"THIRUVANANTHAPURAM, IN",2/2/1990,0,81,,73
IN010100400,"THIRUVANANTHAPURAM, IN",2/3/1990,0,79,89,71
IN010100400,"THIRUVANANTHAPURAM, IN",2/4/1990,0,79,92,71
IN010100400,"THIRUVANANTHAPURAM, IN",2/5/1990,0,81,,71
IN010100400,"THIRUVANANTHAPURAM, IN",2/6/1990,0,81,90,
IN010100400,"THIRUVANANTHAPURAM, IN",2/7/1990,0,82,94,71
IN010100400,"THIRUVANANTHAPURAM, IN",2/8/1990,0,83,90,75
IN010100400,"THIRUVANANTHAPURAM, IN",2/9/1990,0,83,92,75
IN010100400,"THIRUVANANTHAPURAM, IN",2/10/1990,0,84,93,76
IN010100400,"THIRUVANANTHAPURAM, IN",2/11/1990,0,85,94,76
