STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN023550300,"VARANASI BABATPUR, IN",5/17/1992,,95,112,
IN023550300,"VARANASI BABATPUR, IN",4/21/1995,0,83,98,
IN023550300,"VARANASI BABATPUR, IN",4/1/1996,,79,,
IN023550300,"VARANASI BABATPUR, IN",4/2/1996,,80,,
IN023550300,"VARANASI BABATPUR, IN",4/3/1996,,78,,
IN023550300,"VARANASI BABATPUR, IN",4/4/1996,,88,,
IN023550300,"VARANASI BABATPUR, IN",4/5/1996,,87,,
IN023550300,"VARANASI BABATPUR, IN",4/6/1996,,88,,
IN023550300,"VARANASI BABATPUR, IN",4/7/1996,,93,,
IN023550300,"VARANASI BABATPUR, IN",4/8/1996,,92,,
IN023550300,"VARANASI BABATPUR, IN",4/9/1996,,87,,
IN023550300,"VARANASI BABATPUR, IN",4/10/1996,,88,100,
IN023550300,"VARANASI BABATPUR, IN",4/11/1996,,91,,
IN023550300,"VARANASI BABATPUR, IN",4/12/1996,,87,,
IN023550300,"VARANASI BABATPUR, IN",4/13/1996,,92,,
IN023550300,"VARANASI BABATPUR, IN",4/14/1996,,89,,
IN023550300,"VARANASI BABATPUR, IN",4/15/1996,,88,,
IN023550300,"VARANASI BABATPUR, IN",4/16/1996,,85,,
IN023550300,"VARANASI BABATPUR, IN",4/17/1996,,87,,
IN023550300,"VARANASI BABATPUR, IN",4/18/1996,,90,108,
IN023550300,"VARANASI BABATPUR, IN",4/19/1996,,93,,
IN023550300,"VARANASI BABATPUR, IN",4/20/1996,,93,,
IN023550300,"VARANASI BABATPUR, IN",4/21/1996,,93,,
IN023550300,"VARANASI BABATPUR, IN",4/22/1996,,92,,
IN023550300,"VARANASI BABATPUR, IN",4/23/1996,,90,101,
IN023550300,"VARANASI BABATPUR, IN",4/24/1996,,90,,
IN023550300,"VARANASI BABATPUR, IN",4/26/1996,,86,98,
IN023550300,"VARANASI BABATPUR, IN",4/27/1996,,87,,
IN023550300,"VARANASI BABATPUR, IN",4/28/1996,,91,,
IN023550300,"VARANASI BABATPUR, IN",4/29/1996,,93,,
IN023550300,"VARANASI BABATPUR, IN",4/30/1996,,94,,
IN023550300,"VARANASI BABATPUR, IN",5/1/1996,,93,,
IN023550300,"VARANASI BABATPUR, IN",5/2/1996,,92,,
IN023550300,"VARANASI BABATPUR, IN",5/3/1996,,94,,
IN023550300,"VARANASI BABATPUR, IN",5/4/1996,,95,,
IN023550300,"VARANASI BABATPUR, IN",5/5/1996,,97,,
IN023550300,"VARANASI BABATPUR, IN",5/6/1996,,97,,
IN023550300,"VARANASI BABATPUR, IN",5/7/1996,,94,,
IN023550300,"VARANASI BABATPUR, IN",5/8/1996,,97,,
IN023550300,"VARANASI BABATPUR, IN",5/9/1996,,96,,
IN023550300,"VARANASI BABATPUR, IN",5/10/1996,,95,,
IN023550300,"VARANASI BABATPUR, IN",5/11/1996,,90,,
IN023550300,"VARANASI BABATPUR, IN",5/12/1996,,94,,
IN023550300,"VARANASI BABATPUR, IN",5/13/1996,,99,,
IN023550300,"VARANASI BABATPUR, IN",5/14/1996,,94,,
IN023550300,"VARANASI BABATPUR, IN",5/15/1996,,91,,
IN023550300,"VARANASI BABATPUR, IN",5/16/1996,,96,,
IN023550300,"VARANASI BABATPUR, IN",5/17/1996,,83,,
IN023550300,"VARANASI BABATPUR, IN",5/18/1996,,95,,
IN023550300,"VARANASI BABATPUR, IN",5/19/1996,,91,,
IN023550300,"VARANASI BABATPUR, IN",5/20/1996,,91,,
IN023550300,"VARANASI BABATPUR, IN",5/21/1996,,89,,
IN023550300,"VARANASI BABATPUR, IN",5/22/1996,,94,,
IN023550300,"VARANASI BABATPUR, IN",5/23/1996,,99,,
IN023550300,"VARANASI BABATPUR, IN",5/24/1996,,96,,
IN023550300,"VARANASI BABATPUR, IN",5/25/1996,,101,,
IN023550300,"VARANASI BABATPUR, IN",5/26/1996,,97,,
IN023550300,"VARANASI BABATPUR, IN",5/27/1996,,96,,
IN023550300,"VARANASI BABATPUR, IN",5/28/1996,,103,,
IN023550300,"VARANASI BABATPUR, IN",5/29/1996,,100,,
IN023550300,"VARANASI BABATPUR, IN",5/30/1996,,96,,
IN023550300,"VARANASI BABATPUR, IN",5/31/1996,,93,,
IN023550300,"VARANASI BABATPUR, IN",6/1/1996,,101,,
IN023550300,"VARANASI BABATPUR, IN",6/2/1996,,94,,
IN023550300,"VARANASI BABATPUR, IN",6/3/1996,,85,,
IN023550300,"VARANASI BABATPUR, IN",6/4/1996,,89,,
IN023550300,"VARANASI BABATPUR, IN",6/5/1996,,93,,
IN023550300,"VARANASI BABATPUR, IN",6/6/1996,,84,,
IN023550300,"VARANASI BABATPUR, IN",6/7/1996,,87,,
IN023550300,"VARANASI BABATPUR, IN",6/8/1996,,89,,
IN023550300,"VARANASI BABATPUR, IN",6/9/1996,,91,,
IN023550300,"VARANASI BABATPUR, IN",6/10/1996,,94,,
IN023550300,"VARANASI BABATPUR, IN",6/11/1996,,96,,
IN023550300,"VARANASI BABATPUR, IN",6/12/1996,,86,,
IN023550300,"VARANASI BABATPUR, IN",6/13/1996,,97,,
IN023550300,"VARANASI BABATPUR, IN",6/14/1996,,98,,
IN023550300,"VARANASI BABATPUR, IN",6/16/1996,,98,,
IN023550300,"VARANASI BABATPUR, IN",6/17/1996,,95,,
IN023550300,"VARANASI BABATPUR, IN",6/18/1996,,98,,
IN023550300,"VARANASI BABATPUR, IN",6/19/1996,,96,,
IN023550300,"VARANASI BABATPUR, IN",6/20/1996,,91,,
IN023550300,"VARANASI BABATPUR, IN",6/21/1996,,86,,
IN023550300,"VARANASI BABATPUR, IN",6/29/1996,,82,,
IN023550300,"VARANASI BABATPUR, IN",6/30/1996,,84,,
IN023550300,"VARANASI BABATPUR, IN",7/1/1996,,92,,
IN023550300,"VARANASI BABATPUR, IN",7/2/1996,,89,,
IN023550300,"VARANASI BABATPUR, IN",7/3/1996,,92,,
IN023550300,"VARANASI BABATPUR, IN",7/4/1996,,90,,
IN023550300,"VARANASI BABATPUR, IN",7/5/1996,,89,,
IN023550300,"VARANASI BABATPUR, IN",7/6/1996,,89,,
IN023550300,"VARANASI BABATPUR, IN",7/7/1996,,86,,
IN023550300,"VARANASI BABATPUR, IN",7/8/1996,,88,,
IN023550300,"VARANASI BABATPUR, IN",7/9/1996,,93,,
IN023550300,"VARANASI BABATPUR, IN",7/10/1996,,85,,
IN023550300,"VARANASI BABATPUR, IN",7/11/1996,,84,,
IN023550300,"VARANASI BABATPUR, IN",7/12/1996,,81,,
IN023550300,"VARANASI BABATPUR, IN",7/13/1996,,87,,
IN023550300,"VARANASI BABATPUR, IN",7/14/1996,,87,,
IN023550300,"VARANASI BABATPUR, IN",7/15/1996,,87,,
IN023550300,"VARANASI BABATPUR, IN",7/16/1996,,88,,
IN023550300,"VARANASI BABATPUR, IN",7/17/1996,,90,,
IN023550300,"VARANASI BABATPUR, IN",7/18/1996,,86,,
IN023550300,"VARANASI BABATPUR, IN",7/19/1996,,83,,
IN023550300,"VARANASI BABATPUR, IN",7/20/1996,,85,,
IN023550300,"VARANASI BABATPUR, IN",7/21/1996,,84,,
