STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN001200200,"VISHAKHAPATNAM, IN",12/7/2015,,76,88,
IN001200200,"VISHAKHAPATNAM, IN",12/8/2015,,77,88,
IN001200200,"VISHAKHAPATNAM, IN",12/9/2015,,76,87,66
IN001200200,"VISHAKHAPATNAM, IN",12/10/2015,,75,87,66
IN001200200,"VISHAKHAPATNAM, IN",12/11/2015,,75,87,68
IN001200200,"VISHAKHAPATNAM, IN",12/12/2015,,80,89,70
IN001200200,"VISHAKHAPATNAM, IN",12/13/2015,,81,89,
IN001200200,"VISHAKHAPATNAM, IN",12/14/2015,,77,89,
IN001200200,"VISHAKHAPATNAM, IN",12/15/2015,,79,89,75
IN001200200,"VISHAKHAPATNAM, IN",12/16/2015,,79,87,74
IN001200200,"VISHAKHAPATNAM, IN",12/17/2015,,79,88,73
IN001200200,"VISHAKHAPATNAM, IN",12/18/2015,,82,91,73
IN001200200,"VISHAKHAPATNAM, IN",12/19/2015,,79,91,72
IN001200200,"VISHAKHAPATNAM, IN",12/20/2015,0.12,77,89,
IN001200200,"VISHAKHAPATNAM, IN",12/21/2015,0,79,,71
IN001200200,"VISHAKHAPATNAM, IN",12/22/2015,,78,87,71
IN001200200,"VISHAKHAPATNAM, IN",12/23/2015,,80,89,74
IN001200200,"VISHAKHAPATNAM, IN",12/24/2015,0,81,89,75
IN001200200,"VISHAKHAPATNAM, IN",12/25/2015,,79,87,75
IN001200200,"VISHAKHAPATNAM, IN",12/26/2015,,75,87,70
IN001200200,"VISHAKHAPATNAM, IN",12/27/2015,,72,83,
IN001200200,"VISHAKHAPATNAM, IN",12/28/2015,,72,86,60
IN001200200,"VISHAKHAPATNAM, IN",12/29/2015,,76,,62
IN001200200,"VISHAKHAPATNAM, IN",12/30/2015,,76,88,61
IN001200200,"VISHAKHAPATNAM, IN",12/31/2015,,77,87,64
IN001200200,"VISHAKHAPATNAM, IN",1/1/2016,,76,87,66
